variant_id,model_id,family,operator,params_json,edits_json,exec_overrides_json,description,generator_seed
m-scale_conductance-91357ec3a8,hay2011_soma,biophysical,scale_conductance,"{""changes"":[{""attribute"":""condDensity"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='SK_E2_all']"",""new"":""0.064 mS_per_cm2"",""old"":""0.08 mS_per_cm2""}],""element"":""channelDensity"",""element_id"":""SK_E2_all"",""factor"":0.8}","[{""action"":""set"",""attribute"":""condDensity"",""file"":""neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='SK_E2_all']"",""new"":""0.064 mS_per_cm2"",""note"":""scale_conductance"",""old"":""0.08 mS_per_cm2""}]",{},"scale_conductance at neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml:/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='SK_E2_all'] {""element"": ""channelDensity"", ""element_id"": ""SK_E2_all"", ""factor"": 0.8} condDensity: '0.08 mS_per_cm2' -> '0.064 mS_per_cm2'",20260917
m-scale_conductance-211745202a,hay2011_soma,biophysical,scale_conductance,"{""changes"":[{""attribute"":""condDensity"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityNernst[@id='Ca_HVA_all']"",""new"":""1.0912 mS_per_cm2"",""old"":""0.992 mS_per_cm2""}],""element"":""channelDensityNernst"",""element_id"":""Ca_HVA_all"",""factor"":1.1}","[{""action"":""set"",""attribute"":""condDensity"",""file"":""neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityNernst[@id='Ca_HVA_all']"",""new"":""1.0912 mS_per_cm2"",""note"":""scale_conductance"",""old"":""0.992 mS_per_cm2""}]",{},"scale_conductance at neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml:/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityNernst[@id='Ca_HVA_all'] {""element"": ""channelDensityNernst"", ""element_id"": ""Ca_HVA_all"", ""factor"": 1.1} condDensity: '0.992 mS_per_cm2' -> '1.0912 mS_per_cm2'",20260917
m-scale_conductance-75492a609a,hay2011_soma,biophysical,scale_conductance,"{""changes"":[{""attribute"":""condDensity"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Im_all']"",""new"":""0.03375 mS_per_cm2"",""old"":""0.0675 mS_per_cm2""}],""element"":""channelDensity"",""element_id"":""Im_all"",""factor"":0.5}","[{""action"":""set"",""attribute"":""condDensity"",""file"":""neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Im_all']"",""new"":""0.03375 mS_per_cm2"",""note"":""scale_conductance"",""old"":""0.0675 mS_per_cm2""}]",{},"scale_conductance at neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml:/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Im_all'] {""element"": ""channelDensity"", ""element_id"": ""Im_all"", ""factor"": 0.5} condDensity: '0.0675 mS_per_cm2' -> '0.03375 mS_per_cm2'",20260917
m-scale_conductance-49ff9dfe7d,hay2011_soma,biophysical,scale_conductance,"{""changes"":[{""attribute"":""condDensity"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityNernst[@id='Ca_LVAst_all']"",""new"":""6.86 mS_per_cm2"",""old"":""3.43 mS_per_cm2""}],""element"":""channelDensityNernst"",""element_id"":""Ca_LVAst_all"",""factor"":2.0}","[{""action"":""set"",""attribute"":""condDensity"",""file"":""neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityNernst[@id='Ca_LVAst_all']"",""new"":""6.86 mS_per_cm2"",""note"":""scale_conductance"",""old"":""3.43 mS_per_cm2""}]",{},"scale_conductance at neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml:/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityNernst[@id='Ca_LVAst_all'] {""element"": ""channelDensityNernst"", ""element_id"": ""Ca_LVAst_all"", ""factor"": 2.0} condDensity: '3.43 mS_per_cm2' -> '6.86 mS_per_cm2'",20260917
m-shift_reversal-fc43f168e8,hay2011_soma,biophysical,shift_reversal,"{""changes"":[{""attribute"":""erev"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='K_Tst_all']"",""new"":""-83.0 mV"",""old"":""-85.0 mV""}],""element"":""channelDensity"",""element_id"":""K_Tst_all"",""shift_mV"":2.0}","[{""action"":""set"",""attribute"":""erev"",""file"":""neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='K_Tst_all']"",""new"":""-83.0 mV"",""note"":""shift_reversal"",""old"":""-85.0 mV""}]",{},"shift_reversal at neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml:/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='K_Tst_all'] {""element"": ""channelDensity"", ""element_id"": ""K_Tst_all"", ""shift_mV"": 2.0} erev: '-85.0 mV' -> '-83.0 mV'",20260917
m-shift_reversal-5d369845ce,hay2011_soma,biophysical,shift_reversal,"{""changes"":[{""attribute"":""erev"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='SK_E2_all']"",""new"":""-90.0 mV"",""old"":""-85.0 mV""}],""element"":""channelDensity"",""element_id"":""SK_E2_all"",""shift_mV"":-5.0}","[{""action"":""set"",""attribute"":""erev"",""file"":""neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='SK_E2_all']"",""new"":""-90.0 mV"",""note"":""shift_reversal"",""old"":""-85.0 mV""}]",{},"shift_reversal at neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml:/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='SK_E2_all'] {""element"": ""channelDensity"", ""element_id"": ""SK_E2_all"", ""shift_mV"": -5.0} erev: '-85.0 mV' -> '-90.0 mV'",20260917
m-shift_reversal-e5f14f8fb3,hay2011_soma,biophysical,shift_reversal,"{""changes"":[{""attribute"":""erev"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Im_all']"",""new"":""-95.0 mV"",""old"":""-85.0 mV""}],""element"":""channelDensity"",""element_id"":""Im_all"",""shift_mV"":-10.0}","[{""action"":""set"",""attribute"":""erev"",""file"":""neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Im_all']"",""new"":""-95.0 mV"",""note"":""shift_reversal"",""old"":""-85.0 mV""}]",{},"shift_reversal at neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml:/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Im_all'] {""element"": ""channelDensity"", ""element_id"": ""Im_all"", ""shift_mV"": -10.0} erev: '-85.0 mV' -> '-95.0 mV'",20260917
m-shift_reversal-5b6a87e0b4,hay2011_soma,biophysical,shift_reversal,"{""changes"":[{""attribute"":""erev"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='pas_all']"",""new"":""-80.0 mV"",""old"":""-90.0 mV""}],""element"":""channelDensity"",""element_id"":""pas_all"",""shift_mV"":10.0}","[{""action"":""set"",""attribute"":""erev"",""file"":""neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='pas_all']"",""new"":""-80.0 mV"",""note"":""shift_reversal"",""old"":""-90.0 mV""}]",{},"shift_reversal at neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml:/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='pas_all'] {""element"": ""channelDensity"", ""element_id"": ""pas_all"", ""shift_mV"": 10.0} erev: '-90.0 mV' -> '-80.0 mV'",20260917
m-scale_capacitance-068b4305c4,hay2011_soma,biophysical,scale_capacitance,"{""changes"":[{""attribute"":""value"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"",""new"":""0.8 uF_per_cm2"",""old"":""1.0 uF_per_cm2""}],""element"":""specificCapacitance"",""element_id"":null,""factor"":0.8}","[{""action"":""set"",""attribute"":""value"",""file"":""neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"",""new"":""0.8 uF_per_cm2"",""note"":""scale_capacitance"",""old"":""1.0 uF_per_cm2""}]",{},"scale_capacitance at neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml:/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1] {""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 0.8} value: '1.0 uF_per_cm2' -> '0.8 uF_per_cm2'",20260917
m-scale_capacitance-767ea7d652,hay2011_soma,biophysical,scale_capacitance,"{""changes"":[{""attribute"":""value"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"",""new"":""0.5 uF_per_cm2"",""old"":""1.0 uF_per_cm2""}],""element"":""specificCapacitance"",""element_id"":null,""factor"":0.5}","[{""action"":""set"",""attribute"":""value"",""file"":""neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml"",""locator"":""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"",""new"":""0.5 uF_per_cm2"",""note"":""scale_capacitance"",""old"":""1.0 uF_per_cm2""}]",{},"scale_capacitance at neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml:/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1] {""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 0.5} value: '1.0 uF_per_cm2' -> '0.5 uF_per_cm2'",20260917
