mutant_id,model_id,family,P00_canonical,P02_weak_step,P04_step_2x,P05_long_step,P06_ramp,P07_hyperpolarizing_step,P08_rebound,P09_short_pulse,P03_rheobase
__cost__,,,306666.6666666667,200000.0,200000.0,500000.0,300000.0,200000.0,220000.0,100000.0,7680000.0
m-scale_conductance-91357ec3a8,hay2011_soma,biophysical,1,0,1,1,1,0,0,0,0
m-scale_conductance-211745202a,hay2011_soma,biophysical,0,0,0,1,0,0,0,0,0
m-scale_conductance-49ff9dfe7d,hay2011_soma,biophysical,1,0,1,1,1,0,0,1,0
m-shift_reversal-5d369845ce,hay2011_soma,biophysical,1,0,1,1,1,0,0,0,0
m-shift_reversal-5b6a87e0b4,hay2011_soma,biophysical,1,1,1,1,1,1,0,1,1
m-scale_capacitance-068b4305c4,hay2011_soma,biophysical,1,0,1,1,1,0,0,0,0
m-scale_capacitance-767ea7d652,hay2011_soma,biophysical,1,0,1,1,1,0,0,1,1
m-scale_gate_time_constant-02eb4e0b90,hay2011_soma,biophysical,0,0,0,1,0,0,0,0,0
m-shift_gate_midpoint-373705d436,hay2011_soma,kinetics,1,0,1,1,1,0,0,1,0
m-shift_gate_midpoint-831ea54a80,hay2011_soma,kinetics,1,0,1,1,1,0,0,1,1
m-scale_gate_slope-2599d25adf,hay2011_soma,kinetics,1,0,1,1,1,0,0,1,0
m-shift_forward_rate_midpoint-484491b9f3,hay2011_soma,kinetics,1,0,1,1,0,1,0,1,0
m-duplicate_conductance-596d29cbb4,hay2011_soma,reference,1,0,1,1,1,0,0,1,1
m-wrong_compatible_component-51b1ad6cb5,hay2011_soma,reference,1,0,1,1,1,0,0,0,0
m-scale_conductance-e5620ee307,bbp2015_soma,biophysical,1,0,1,0,1,0,0,0,1
m-scale_conductance-2956a62118,bbp2015_soma,biophysical,0,0,1,0,0,0,0,0,0
m-scale_conductance-fb2a987fb5,bbp2015_soma,biophysical,1,0,1,1,1,1,0,1,0
m-shift_reversal-2407231390,bbp2015_soma,biophysical,1,0,1,1,0,1,0,1,0
m-shift_reversal-192b2f0278,bbp2015_soma,biophysical,1,0,0,0,1,0,0,0,0
m-scale_capacitance-b2a3d4e3f2,bbp2015_soma,biophysical,1,0,1,1,1,0,0,0,0
m-scale_capacitance-7648f6033e,bbp2015_soma,biophysical,1,0,1,1,1,0,0,1,1
m-scale_gate_time_constant-de97b02e71,bbp2015_soma,biophysical,0,0,0,1,0,0,0,0,0
m-shift_gate_midpoint-10216538ab,bbp2015_soma,kinetics,1,0,1,1,0,1,0,1,0
m-shift_gate_midpoint-4ee962add0,bbp2015_soma,kinetics,1,0,0,1,0,0,0,0,0
m-scale_gate_slope-039828a4db,bbp2015_soma,kinetics,1,0,1,1,0,1,0,1,0
m-duplicate_conductance-c2b1b10511,bbp2015_soma,reference,1,0,1,1,1,0,0,0,1
