mutant_id,model_id,family,P00_canonical,P02_weak_step,P04_step_2x,P05_long_step,P06_ramp,P07_hyperpolarizing_step,P08_rebound,P09_short_pulse,P03_rheobase
__cost__,,,306666.6666666667,200000.0,200000.0,500000.0,300000.0,200000.0,220000.0,100000.0,7680000.0
m-increase_dt-81e3dc25ff,hay2011_soma,numerical,0,0,1,1,0,0,0,1,0
m-increase_dt-1086ebecdc,traub2005_testseg2,numerical,0,0,1,1,0,0,0,1,0
m-increase_dt-db1611d787,traub2005_testseg_all,numerical,0,0,1,1,0,0,0,1,0
m-increase_dt-9ff98cb7be,smith2013_singlecomp,numerical,0,0,0,0,0,0,0,1,0
