variant_id,operator,family,assigned_class,detecting_protocols,human_auditor,edit_matches_label_yes_no,class_plausible_yes_no,detection_plausible_yes_no,notes
m-duplicate_conductance-06ea96d790,duplicate_conductance,reference,6_silent_under_canonical,P03_rheobase;P04_step_2x;P05_long_step,,,,,
m-recording_resolution-6959ac57de,recording_resolution,numerical,4_equivalent_within_tested_domain,,,,,,
m-recording_resolution-a5f502f6d0,recording_resolution,numerical,4_equivalent_within_tested_domain,,,,,,
m-scale_capacitance-e015416fbf,scale_capacitance,biophysical,5_non_equivalent,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P08_rebound,,,,,
m-scale_capacitance-e86da299c1,scale_capacitance,biophysical,5_non_equivalent,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,,,,,
m-scale_conductance-10ff293ca8,scale_conductance,biophysical,5_non_equivalent,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P07_hyperpolarizing_step,,,,,
m-scale_conductance-1f40a5f389,scale_conductance,biophysical,5_non_equivalent,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P07_hyperpolarizing_step,,,,,
m-scale_conductance-8d921084f4,scale_conductance,biophysical,5_non_equivalent,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp,,,,,
m-scale_conductance-ae18f4c43e,scale_conductance,biophysical,5_non_equivalent,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P08_rebound,,,,,
m-scale_conductance-f937b97f50,scale_conductance,biophysical,5_non_equivalent,P00_canonical;P03_rheobase;P04_step_2x,,,,,
m-scale_gate_slope-6f355edc68,scale_gate_slope,kinetics,5_non_equivalent,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P07_hyperpolarizing_step;P08_rebound;P09_short_pulse,,,,,
m-shift_forward_rate_midpoint-26075274d4,shift_forward_rate_midpoint,kinetics,5_non_equivalent,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp,,,,,
m-shift_gate_midpoint-cdbd253d57,shift_gate_midpoint,kinetics,5_non_equivalent,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P07_hyperpolarizing_step;P08_rebound;P09_short_pulse,,,,,
m-shift_reversal-296104fa71,shift_reversal,biophysical,5_non_equivalent,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P07_hyperpolarizing_step;P09_short_pulse,,,,,
m-shift_reversal-2c628fb0f6,shift_reversal,biophysical,5_non_equivalent,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P07_hyperpolarizing_step;P08_rebound,,,,,
m-shift_reversal-2ebe75d071,shift_reversal,biophysical,5_non_equivalent,P00_canonical;P06_ramp,,,,,
m-shift_reversal-7be708c601,shift_reversal,biophysical,4_equivalent_within_tested_domain,,,,,,
m-shift_reversal-a84a36ad81,shift_reversal,biophysical,5_non_equivalent,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P09_short_pulse,,,,,
m-shift_reversal-c7e1f18cfe,shift_reversal,biophysical,6_silent_under_canonical,P04_step_2x;P05_long_step,,,,,
m-wrong_channel-9899c39ee8,wrong_channel,reference,2_non_executable,,,,,,
