study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,model_set,stratum,kind,family,operator,class,interpretation,detecting_protocols,analysis_family,severity,P00_canonical:feature_primary,P00_canonical:feature_secondary,P00_canonical:trace,P03_rheobase:feature_primary,P03_rheobase:feature_secondary,P04_step_2x:feature_primary,P04_step_2x:feature_secondary,P04_step_2x:trace,P07_hyperpolarizing_step:feature_primary,P07_hyperpolarizing_step:feature_secondary,P07_hyperpolarizing_step:trace
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-a5d53b94c4,pospischil2008_rs,other_model,primary_semantic,mutant,biophysical,scale_conductance,5_non_equivalent,5_non_equivalent,P00_canonical,maximal_conductance,mild,1,0,1,0,0,0,0,0,0,0,0
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,other_model,primary_semantic,mutant,biophysical,scale_conductance,5_non_equivalent,5_non_equivalent,P00_canonical;P03_rheobase;P04_step_2x;P07_hyperpolarizing_step,maximal_conductance,strong,1,1,1,1,0,1,1,1,1,1,1
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-shift_reversal-80b6724096,pospischil2008_rs,other_model,primary_semantic,mutant,biophysical,shift_reversal,5_non_equivalent,5_non_equivalent,P00_canonical,reversal_potential,mild,1,0,1,0,0,0,0,0,0,0,0
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-shift_reversal-93e4e5a5cc,pospischil2008_rs,other_model,primary_semantic,mutant,biophysical,shift_reversal,5_non_equivalent,5_non_equivalent,P00_canonical;P04_step_2x,reversal_potential,strong,1,1,1,0,0,1,1,1,0,0,0
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_capacitance-4f76868f28,pospischil2008_rs,other_model,primary_semantic,mutant,biophysical,scale_capacitance,5_non_equivalent,5_non_equivalent,P00_canonical;P04_step_2x,passive_membrane,mild,1,1,1,0,0,1,1,1,0,0,0
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_capacitance-ed0bebd0d7,pospischil2008_rs,other_model,primary_semantic,mutant,biophysical,scale_capacitance,5_non_equivalent,5_non_equivalent,P00_canonical;P04_step_2x,passive_membrane,strong,1,1,1,0,0,1,1,1,0,0,1
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_gate_time_constant-539d21838f,pospischil2008_rs,other_model,primary_semantic,mutant,biophysical,scale_gate_time_constant,5_non_equivalent,5_non_equivalent,P00_canonical;P04_step_2x,gating_time_constant,mild,1,1,1,0,0,1,1,1,0,0,0
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_gate_time_constant-99809ff67e,pospischil2008_rs,other_model,primary_semantic,mutant,biophysical,scale_gate_time_constant,5_non_equivalent,5_non_equivalent,P00_canonical;P04_step_2x,gating_time_constant,strong,1,1,1,0,0,1,1,1,0,0,0
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,pospischil2008_rs__unit_conversion__000,pospischil2008_rs,other_model,control,valid_transform,unit_conversion,unit_conversion,4_equivalent_within_tested_domain,no_detection,,control,not_applicable,0,0,0,0,0,0,0,0,0,0,0
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,pospischil2008_rs__xml_formatting__000,pospischil2008_rs,other_model,control,no_change_control,formatting,xml_formatting,4_equivalent_within_tested_domain,no_detection,,control,not_applicable,0,0,0,0,0,0,0,0,0,0,0
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,pospischil2008_rs__add_comments__000,pospischil2008_rs,other_model,control,no_change_control,formatting,add_comments,4_equivalent_within_tested_domain,no_detection,,control,not_applicable,0,0,0,0,0,0,0,0,0,0,0
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,pospischil2008_rs__numeric_literal_format__000,pospischil2008_rs,other_model,control,valid_transform,literal_format,numeric_literal_format,4_equivalent_within_tested_domain,no_detection,,control,not_applicable,0,0,0,0,0,0,0,0,0,0,0
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,pospischil2008_rs__rename_identifier__000,pospischil2008_rs,other_model,control,valid_transform,renaming,rename_identifier,4_equivalent_within_tested_domain,no_detection,,control,not_applicable,0,0,0,0,0,0,0,0,0,0,0
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,pospischil2008_rs__factor_file__000,pospischil2008_rs,other_model,control,valid_transform,factoring,factor_file,4_equivalent_within_tested_domain,no_detection,,control,not_applicable,0,0,0,0,0,0,0,0,0,0,0
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,pospischil2008_rs__reorder_independent__000,pospischil2008_rs,other_model,control,valid_transform,reordering,reorder_independent,4_equivalent_within_tested_domain,no_detection,,control,not_applicable,0,0,0,0,0,0,0,0,0,0,0
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,pospischil2008_rs__explicit_default__000,pospischil2008_rs,other_model,control,valid_transform,explicit_default,explicit_default,4_equivalent_within_tested_domain,no_detection,,control,not_applicable,0,0,0,0,0,0,0,0,0,0,0
