model_id,protocol_id,feature,kind,f_h,f_h2,f_h4,state_h,state_h2,abs_floor,rel_term,refine_term,tau,limiting,note
pospischil2008_rs,P00_canonical,adaptation_index,numeric,0.2988218828985024,0.2989579287624928,0.29897507423197267,defined,defined,0.01,0.029882188289850245,0.00040813759197105837,0.029882188289850245,relative,
pospischil2008_rs,P00_canonical,ahp_depth,numeric,2.861194747922525,2.9394112752346615,2.978420361836754,defined,defined,0.5,0.14305973739612626,0.2346495819364094,0.5,abs_floor,
pospischil2008_rs,P00_canonical,ap_amplitude,numeric,88.85420990112726,88.78027725318925,88.85550689834986,defined,defined,1.0,1.7770841980225454,0.22179794381402473,1.7770841980225454,relative,
pospischil2008_rs,P00_canonical,ap_half_width,numeric,0.6999999999993634,0.6999999999993634,0.6999999999993634,defined,defined,0.05,0.03499999999996817,0.0,0.05,abs_floor,
pospischil2008_rs,P00_canonical,baseline_voltage,numeric,-70.57644285583496,-70.57644283040365,-70.57644282277425,defined,defined,0.5,0.0,7.6293915185488e-08,0.5,abs_floor,
pospischil2008_rs,P00_canonical,firing_regime,categorical,adapting,adapting,adapting,defined,defined,0.0,0.0,0.0,0.0,exact,
pospischil2008_rs,P00_canonical,first_isi,numeric,28.06999999997447,28.029999999974507,27.999999999974534,defined,defined,0.5,0.5613999999994894,0.11999999999989086,0.5613999999994894,relative,
pospischil2008_rs,P00_canonical,first_spike_latency,numeric,20.749999999853287,20.739999999853296,20.739999999853296,defined,defined,0.5,0.41499999999706577,0.029999999999972715,0.5,abs_floor,
pospischil2008_rs,P00_canonical,last_isi,numeric,135.97999999987638,135.78999999987656,135.69999999987664,defined,defined,0.5,2.7195999999975276,0.5699999999994816,2.7195999999975276,relative,
pospischil2008_rs,P00_canonical,mean_frequency,numeric,17.03113291098414,17.059606264310375,17.073587160685435,defined,defined,0.5,0.8515566455492071,0.08542005997870206,0.8515566455492071,relative,
pospischil2008_rs,P00_canonical,spike_count,count,5.0,5.0,5.0,defined,defined,0.5,0.0,0.0,0.5,abs_floor,
pospischil2008_rs,P03_rheobase,rheobase,numeric,0.5606515948364182,0.5606515948364182,0.5606515948364182,defined,defined,0.00020490403660944345,0.011213031896728365,0.0,0.011213031896728365,relative,
pospischil2008_rs,P04_step_2x,adaptation_index,numeric,0.018020491828063687,0.018206269147133136,0.01830016111987434,defined,defined,0.01,0.0018020491828063688,0.0005573319572083485,0.01,abs_floor,
pospischil2008_rs,P04_step_2x,ahp_depth,numeric,3.2025415878387236,3.6095391972804407,3.811037501010617,defined,defined,0.5,0.16012707939193618,1.2209928283251514,1.2209928283251514,refinement,
pospischil2008_rs,P04_step_2x,ap_amplitude,numeric,89.49588775782593,89.44855880885186,89.41038513298949,defined,defined,1.0,1.7899177551565186,0.1419868469222081,1.7899177551565186,relative,
pospischil2008_rs,P04_step_2x,ap_half_width,numeric,0.6999999999993634,0.6999999999993634,0.7099999999993543,defined,defined,0.05,0.03499999999996817,0.0,0.05,abs_floor,
pospischil2008_rs,P04_step_2x,burst_count,count,1.0,1.0,1.0,defined,defined,0.5,0.0,0.0,0.5,abs_floor,
pospischil2008_rs,P04_step_2x,firing_regime,categorical,tonic,tonic,tonic,defined,defined,0.0,0.0,0.0,0.0,exact,
pospischil2008_rs,P04_step_2x,first_isi,numeric,13.069999999988113,12.92999999998824,12.869999999988295,defined,defined,0.5,0.26139999999976227,0.419999999999618,0.5,abs_floor,
pospischil2008_rs,P04_step_2x,first_spike_latency,numeric,10.689999999862437,10.659999999862464,10.639999999862482,defined,defined,0.5,0.21379999999724875,0.08999999999991815,0.5,abs_floor,
pospischil2008_rs,P04_step_2x,last_isi,numeric,28.16999999997438,28.06999999997447,28.009999999974525,defined,defined,0.5,0.5633999999994876,0.29999999999972715,0.5633999999994876,relative,
pospischil2008_rs,P04_step_2x,mean_frequency,numeric,44.11292909854356,44.38974193423394,44.5308072221393,defined,defined,0.5,2.205646454927178,0.8304385070711362,2.205646454927178,relative,
pospischil2008_rs,P04_step_2x,spike_count,count,22.0,22.0,22.0,defined,defined,0.5,0.0,0.0,0.5,abs_floor,
pospischil2008_rs,P07_hyperpolarizing_step,baseline_voltage,numeric,-70.57644295501709,-70.5764428838094,-70.57644366709383,defined,defined,0.5,0.0,2.1362303925798187e-07,0.5,abs_floor,
pospischil2008_rs,P07_hyperpolarizing_step,minimum_voltage,numeric,-89.46293640136719,-89.46292877197266,-89.46292114257812,defined,defined,0.5,0.0,2.288818359375e-05,0.5,abs_floor,
pospischil2008_rs,P07_hyperpolarizing_step,sag_ratio,numeric,0.003517949557482789,0.0035174947323282214,0.0035170411162427045,defined,defined,0.02,0.00017589747787413946,1.36447546370249e-06,0.02,abs_floor,
pospischil2008_rs,P07_hyperpolarizing_step,spike_count,count,0.0,0.0,0.0,defined,defined,0.5,0.0,0.0,0.5,abs_floor,
pospischil2008_rs,P07_hyperpolarizing_step,steady_state_voltage,numeric,-89.3964946701052,-89.39649565734885,-89.39649662475586,defined,defined,0.5,0.0,2.961730956485553e-06,0.5,abs_floor,
pospischil2008_rs,P07_hyperpolarizing_step,voltage_deflection,numeric,-18.820051715088113,-18.820052773539445,-18.82005295766203,defined,defined,0.5,0.9410025857544057,3.175353995743535e-06,0.9410025857544057,relative,
