grouping,group,silent_class6,non_equivalent_class5,silent_survival_rate,ci_low_exact,ci_high_exact
all,all,13,69,0.15853658536585366,0.08720490466392349,0.2558332729123665
model_id,bbp2015_soma,2,11,0.15384615384615385,0.019206671982528473,0.45447105567655766
model_id,hay2011_soma,2,12,0.14285714285714285,0.01779451548319153,0.428129160909699
model_id,migliore2005_ca1_soma,3,14,0.17647058823529413,0.037985068070626016,0.43431787284428397
model_id,smith2013_singlecomp,4,10,0.2857142857142857,0.08388931830712755,0.5810352571836608
model_id,traub2005_testseg2,2,10,0.16666666666666666,0.02086252546009238,0.48413774868596704
model_id,traub2005_testseg_all,0,12,0.0,0.0,0.2646484693970512
family,biophysical,10,39,0.20408163265306123,0.1024493854952479,0.343429993046482
family,kinetics,3,19,0.13636363636363635,0.029055851128746688,0.34912209725740806
family,reference,0,11,0.0,0.0,0.28491415291815436
