variant_id,model_id,kind,operator,family,tolerance_multiplier,class
m-scale_conductance-91357ec3a8,hay2011_soma,mutant,scale_conductance,biophysical,0.5,5_non_equivalent
m-scale_conductance-91357ec3a8,hay2011_soma,mutant,scale_conductance,biophysical,1.0,5_non_equivalent
m-scale_conductance-91357ec3a8,hay2011_soma,mutant,scale_conductance,biophysical,2.0,5_non_equivalent
m-scale_conductance-91357ec3a8,hay2011_soma,mutant,scale_conductance,biophysical,4.0,6_silent_under_canonical
m-scale_conductance-211745202a,hay2011_soma,mutant,scale_conductance,biophysical,0.5,6_silent_under_canonical
m-scale_conductance-211745202a,hay2011_soma,mutant,scale_conductance,biophysical,1.0,6_silent_under_canonical
m-scale_conductance-211745202a,hay2011_soma,mutant,scale_conductance,biophysical,2.0,4_equivalent_within_tested_domain
m-scale_conductance-211745202a,hay2011_soma,mutant,scale_conductance,biophysical,4.0,4_equivalent_within_tested_domain
m-scale_conductance-75492a609a,hay2011_soma,mutant,scale_conductance,biophysical,0.5,6_silent_under_canonical
m-scale_conductance-75492a609a,hay2011_soma,mutant,scale_conductance,biophysical,1.0,4_equivalent_within_tested_domain
m-scale_conductance-75492a609a,hay2011_soma,mutant,scale_conductance,biophysical,2.0,4_equivalent_within_tested_domain
m-scale_conductance-75492a609a,hay2011_soma,mutant,scale_conductance,biophysical,4.0,4_equivalent_within_tested_domain
m-scale_conductance-49ff9dfe7d,hay2011_soma,mutant,scale_conductance,biophysical,0.5,5_non_equivalent
m-scale_conductance-49ff9dfe7d,hay2011_soma,mutant,scale_conductance,biophysical,1.0,5_non_equivalent
m-scale_conductance-49ff9dfe7d,hay2011_soma,mutant,scale_conductance,biophysical,2.0,5_non_equivalent
m-scale_conductance-49ff9dfe7d,hay2011_soma,mutant,scale_conductance,biophysical,4.0,5_non_equivalent
m-shift_reversal-fc43f168e8,hay2011_soma,mutant,shift_reversal,biophysical,0.5,4_equivalent_within_tested_domain
m-shift_reversal-fc43f168e8,hay2011_soma,mutant,shift_reversal,biophysical,1.0,4_equivalent_within_tested_domain
m-shift_reversal-fc43f168e8,hay2011_soma,mutant,shift_reversal,biophysical,2.0,4_equivalent_within_tested_domain
m-shift_reversal-fc43f168e8,hay2011_soma,mutant,shift_reversal,biophysical,4.0,4_equivalent_within_tested_domain
m-shift_reversal-5d369845ce,hay2011_soma,mutant,shift_reversal,biophysical,0.5,5_non_equivalent
m-shift_reversal-5d369845ce,hay2011_soma,mutant,shift_reversal,biophysical,1.0,5_non_equivalent
m-shift_reversal-5d369845ce,hay2011_soma,mutant,shift_reversal,biophysical,2.0,5_non_equivalent
m-shift_reversal-5d369845ce,hay2011_soma,mutant,shift_reversal,biophysical,4.0,5_non_equivalent
m-shift_reversal-e5f14f8fb3,hay2011_soma,mutant,shift_reversal,biophysical,0.5,6_silent_under_canonical
m-shift_reversal-e5f14f8fb3,hay2011_soma,mutant,shift_reversal,biophysical,1.0,4_equivalent_within_tested_domain
m-shift_reversal-e5f14f8fb3,hay2011_soma,mutant,shift_reversal,biophysical,2.0,4_equivalent_within_tested_domain
m-shift_reversal-e5f14f8fb3,hay2011_soma,mutant,shift_reversal,biophysical,4.0,4_equivalent_within_tested_domain
m-shift_reversal-5b6a87e0b4,hay2011_soma,mutant,shift_reversal,biophysical,0.5,5_non_equivalent
m-shift_reversal-5b6a87e0b4,hay2011_soma,mutant,shift_reversal,biophysical,1.0,5_non_equivalent
m-shift_reversal-5b6a87e0b4,hay2011_soma,mutant,shift_reversal,biophysical,2.0,5_non_equivalent
m-shift_reversal-5b6a87e0b4,hay2011_soma,mutant,shift_reversal,biophysical,4.0,5_non_equivalent
m-scale_capacitance-068b4305c4,hay2011_soma,mutant,scale_capacitance,biophysical,0.5,5_non_equivalent
m-scale_capacitance-068b4305c4,hay2011_soma,mutant,scale_capacitance,biophysical,1.0,5_non_equivalent
m-scale_capacitance-068b4305c4,hay2011_soma,mutant,scale_capacitance,biophysical,2.0,5_non_equivalent
m-scale_capacitance-068b4305c4,hay2011_soma,mutant,scale_capacitance,biophysical,4.0,6_silent_under_canonical
m-scale_capacitance-767ea7d652,hay2011_soma,mutant,scale_capacitance,biophysical,0.5,5_non_equivalent
m-scale_capacitance-767ea7d652,hay2011_soma,mutant,scale_capacitance,biophysical,1.0,5_non_equivalent
m-scale_capacitance-767ea7d652,hay2011_soma,mutant,scale_capacitance,biophysical,2.0,5_non_equivalent
m-scale_capacitance-767ea7d652,hay2011_soma,mutant,scale_capacitance,biophysical,4.0,5_non_equivalent
m-scale_gate_time_constant-02eb4e0b90,hay2011_soma,mutant,scale_gate_time_constant,biophysical,0.5,5_non_equivalent
m-scale_gate_time_constant-02eb4e0b90,hay2011_soma,mutant,scale_gate_time_constant,biophysical,1.0,6_silent_under_canonical
m-scale_gate_time_constant-02eb4e0b90,hay2011_soma,mutant,scale_gate_time_constant,biophysical,2.0,6_silent_under_canonical
m-scale_gate_time_constant-02eb4e0b90,hay2011_soma,mutant,scale_gate_time_constant,biophysical,4.0,4_equivalent_within_tested_domain
m-scale_gate_time_constant-52af1c4a01,hay2011_soma,mutant,scale_gate_time_constant,biophysical,0.5,4_equivalent_within_tested_domain
m-scale_gate_time_constant-52af1c4a01,hay2011_soma,mutant,scale_gate_time_constant,biophysical,1.0,4_equivalent_within_tested_domain
m-scale_gate_time_constant-52af1c4a01,hay2011_soma,mutant,scale_gate_time_constant,biophysical,2.0,4_equivalent_within_tested_domain
m-scale_gate_time_constant-52af1c4a01,hay2011_soma,mutant,scale_gate_time_constant,biophysical,4.0,4_equivalent_within_tested_domain
m-shift_gate_midpoint-373705d436,hay2011_soma,mutant,shift_gate_midpoint,kinetics,0.5,5_non_equivalent
m-shift_gate_midpoint-373705d436,hay2011_soma,mutant,shift_gate_midpoint,kinetics,1.0,5_non_equivalent
m-shift_gate_midpoint-373705d436,hay2011_soma,mutant,shift_gate_midpoint,kinetics,2.0,5_non_equivalent
m-shift_gate_midpoint-373705d436,hay2011_soma,mutant,shift_gate_midpoint,kinetics,4.0,6_silent_under_canonical
m-shift_gate_midpoint-831ea54a80,hay2011_soma,mutant,shift_gate_midpoint,kinetics,0.5,5_non_equivalent
m-shift_gate_midpoint-831ea54a80,hay2011_soma,mutant,shift_gate_midpoint,kinetics,1.0,5_non_equivalent
m-shift_gate_midpoint-831ea54a80,hay2011_soma,mutant,shift_gate_midpoint,kinetics,2.0,5_non_equivalent
m-shift_gate_midpoint-831ea54a80,hay2011_soma,mutant,shift_gate_midpoint,kinetics,4.0,5_non_equivalent
m-scale_gate_slope-2599d25adf,hay2011_soma,mutant,scale_gate_slope,kinetics,0.5,5_non_equivalent
