variant_id,model_id,family,operator,params,exec_overrides,original_class,stratum,interpretation,in_primary_semantic_denominator,note
m-wrong_compatible_component-6f57d23e68,pospischil2008_rs,reference,wrong_compatible_component,"{""changes"": [{""attribute"": ""ionChannel"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""new"": ""IM"", ""old"": ""Kd""}], ""element_id"": ""Kd_all"", ""generator_seed"": 20260913, ""new_species"": ""k"", ""old_species"": ""k""}",{},2_non_executable,primary_semantic,2_non_executable,False,
m-wrong_compatible_component-b3f30eac45,pospischil2008_rs,reference,wrong_compatible_component,"{""changes"": [{""attribute"": ""ionChannel"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all']"", ""new"": ""Kd"", ""old"": ""IM""}], ""element_id"": ""IM_all"", ""generator_seed"": 20260913, ""new_species"": ""k"", ""old_species"": ""k""}",{},2_non_executable,primary_semantic,2_non_executable,False,
m-scale_conductance-9b1ec69fe4,pospischil2008_lts,biophysical,scale_conductance,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all']"", ""new"": ""2.7e-5 S_per_cm2"", ""old"": ""3e-5 S_per_cm2""}], ""element"": ""channelDensity"", ""element_id"": ""IM_all"", ""factor"": 0.9, ""generator_seed"": 20260913}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-scale_conductance-1000aafe3e,pospischil2008_lts,biophysical,scale_conductance,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityNernst[@id='IT_all']"", ""new"": ""3.6e-4 S_per_cm2"", ""old"": ""4e-4 S_per_cm2""}], ""element"": ""channelDensityNernst"", ""element_id"": ""IT_all"", ""factor"": 0.9, ""generator_seed"": 20260913}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-shift_reversal-27f94c8222,pospischil2008_lts,biophysical,shift_reversal,"{""changes"": [{""attribute"": ""erev"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Na_all']"", ""new"": ""45.0 mV"", ""old"": ""50.0 mV""}], ""element"": ""channelDensity"", ""element_id"": ""Na_all"", ""generator_seed"": 20260913, ""shift_mV"": -5.0}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-shift_reversal-5c87169260,pospischil2008_lts,biophysical,shift_reversal,"{""changes"": [{""attribute"": ""erev"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""new"": ""-95.0 mV"", ""old"": ""-100.0 mV""}], ""element"": ""channelDensity"", ""element_id"": ""Kd_all"", ""generator_seed"": 20260913, ""shift_mV"": 5.0}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-scale_capacitance-ee6df9013d,pospischil2008_lts,biophysical,scale_capacitance,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""new"": ""1.1 uF_per_cm2"", ""old"": ""1.0 uF_per_cm2""}], ""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 1.1, ""generator_seed"": 20260913}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-scale_capacitance-64ced10e8f,pospischil2008_lts,biophysical,scale_capacitance,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""new"": ""2.0 uF_per_cm2"", ""old"": ""1.0 uF_per_cm2""}], ""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 2.0, ""generator_seed"": 20260913}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-scale_gate_time_constant-834b272d00,pospischil2008_lts,biophysical,scale_gate_time_constant,"{""channel"": ""Na"", ""factor"": 2.0, ""gate"": ""m"", ""generator_seed"": 20260913, ""mechanism"": ""q10_insert""}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-scale_gate_time_constant-bac677a78d,pospischil2008_lts,biophysical,scale_gate_time_constant,"{""channel"": ""IM"", ""factor"": 1.25, ""gate"": ""p"", ""generator_seed"": 20260913, ""mechanism"": ""q10_insert""}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-shift_initial_voltage-11bd93c6c3,pospischil2008_lts,biophysical,shift_initial_voltage,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/initMembPotential[1]"", ""new"": ""-89.0 mV"", ""old"": ""-84.0 mV""}], ""element"": ""initMembPotential"", ""element_id"": null, ""generator_seed"": 20260913, ""shift_mV"": -5.0}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-shift_initial_voltage-6b902307a8,pospischil2008_lts,biophysical,shift_initial_voltage,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/initMembPotential[1]"", ""new"": ""-82.0 mV"", ""old"": ""-84.0 mV""}], ""element"": ""initMembPotential"", ""element_id"": null, ""generator_seed"": 20260913, ""shift_mV"": 2.0}",{},4_equivalent_within_tested_domain,primary_semantic,4_equivalent_within_tested_domain,False,
m-wrong_segment_group-feb11f7645,pospischil2008_lts,biophysical,wrong_segment_group,"{""changes"": [{""attribute"": ""segmentGroup"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""new"": ""Soma"", ""old"": null}], ""element"": ""channelDensity"", ""element_id"": ""Kd_all"", ""generator_seed"": 20260913, ""new_group"": ""Soma""}",{},4_equivalent_within_tested_domain,primary_semantic,4_equivalent_within_tested_domain,False,
m-wrong_segment_group-69f2f09ffc,pospischil2008_lts,biophysical,wrong_segment_group,"{""changes"": [{""attribute"": ""segmentGroup"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""new"": ""soma_group"", ""old"": null}], ""element"": ""channelDensity"", ""element_id"": ""Kd_all"", ""generator_seed"": 20260913, ""new_group"": ""soma_group""}",{},4_equivalent_within_tested_domain,primary_semantic,4_equivalent_within_tested_domain,False,
m-increase_dt-12296e231e,pospischil2008_lts,numerical,increase_dt,"{""changes"": [{""attribute"": ""step"", ""locator"": ""/Lems[1]/Component[@id='sim1']"", ""new"": ""0.004ms"", ""old"": ""0.001ms""}], ""factor"": 4, ""generator_seed"": 20260913}","{""dt_factor"": 4}",6_silent_under_canonical,numerical_robustness,numerical_sensitivity_missed_by_canonical (not semantic drift),False,"confound: the canonical harness and the battery started from different base steps (harness step x factor versus nominal battery step x factor), so canonical and battery detections are not comparable for this mutant"
m-increase_dt-26c6d170d7,pospischil2008_lts,numerical,increase_dt,"{""changes"": [{""attribute"": ""step"", ""locator"": ""/Lems[1]/Component[@id='sim1']"", ""new"": ""0.01ms"", ""old"": ""0.001ms""}], ""factor"": 10, ""generator_seed"": 20260913}","{""dt_factor"": 10}",5_non_equivalent,numerical_robustness,numerical_sensitivity_detected_by_canonical,False,"confound: the canonical harness and the battery started from different base steps (harness step x factor versus nominal battery step x factor), so canonical and battery detections are not comparable for this mutant"
m-solver_config-05a4d042ce,pospischil2008_lts,numerical,solver_config,"{""generator_seed"": 20260913, ""mechanism"": ""insert_meta"", ""method"": ""rk4""}","{""integrator_method"": ""rk4""}",4_equivalent_within_tested_domain,numerical_robustness,no_reproducible_numerical_sensitivity,False,
m-solver_config-f0ab9d8f86,pospischil2008_lts,numerical,solver_config,"{""generator_seed"": 20260913, ""mechanism"": ""insert_meta"", ""method"": ""eulertree""}","{""integrator_method"": ""eulertree""}",4_equivalent_within_tested_domain,numerical_robustness,no_reproducible_numerical_sensitivity,False,
m-recording_resolution-7d86fbc601,pospischil2008_lts,numerical,recording_resolution,"{""generator_seed"": 20260913, ""sample_every_ms"": 0.05}","{""sample_every_ms"": 0.05}",4_equivalent_within_tested_domain,numerical_robustness,no_reproducible_numerical_sensitivity,False,
m-recording_resolution-46bcb819ee,pospischil2008_lts,numerical,recording_resolution,"{""generator_seed"": 20260913, ""sample_every_ms"": 0.25}","{""sample_every_ms"": 0.25}",5_non_equivalent,numerical_robustness,numerical_sensitivity_detected_by_canonical,False,
m-wrong_channel-091a20b452,pospischil2008_lts,reference,wrong_channel,"{""changes"": [{""attribute"": ""ionChannel"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_all']"", ""new"": ""Kd"", ""old"": ""LeakConductance""}], ""element_id"": ""LeakConductance_all"", ""generator_seed"": 20260913, ""new_species"": ""k"", ""old_species"": ""non_specific""}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-wrong_channel-b78286d788,pospischil2008_lts,reference,wrong_channel,"{""changes"": [{""attribute"": ""ionChannel"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""new"": ""Na"", ""old"": ""Kd""}], ""element_id"": ""Kd_all"", ""generator_seed"": 20260913, ""new_species"": ""na"", ""old_species"": ""k""}",{},2_non_executable,primary_semantic,2_non_executable,False,
m-omit_include-0307bc9abe,pospischil2008_lts,reference,omit_include,"{""generator_seed"": 20260913, ""href"": ""../../channels/IT/IT.channel.nml"", ""removed"": ""<include xmlns=\""http://www.neuroml.org/schema/neuroml2\"" xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" href=\""../../channels/IT/IT.channel.nml\""/>""}",{},1_structurally_invalid,primary_semantic,1_structurally_invalid,False,
m-omit_include-7207b139f8,pospischil2008_lts,reference,omit_include,"{""generator_seed"": 20260913, ""href"": ""../../channels/Ca/Ca.nml"", ""removed"": ""<include xmlns=\""http://www.neuroml.org/schema/neuroml2\"" xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" href=\""../../channels/Ca/Ca.nml\""/>""}",{},2_non_executable,primary_semantic,2_non_executable,False,
m-duplicate_conductance-49ac9c1585,pospischil2008_lts,reference,duplicate_conductance,"{""generator_seed"": 20260913, ""new_id"": ""Na_all_dup"", ""source_id"": ""Na_all""}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-duplicate_conductance-e09481d53c,pospischil2008_lts,reference,duplicate_conductance,"{""generator_seed"": 20260913, ""new_id"": ""Kd_all_dup"", ""source_id"": ""Kd_all""}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-wrong_compatible_component-30dde70761,pospischil2008_lts,reference,wrong_compatible_component,"{""changes"": [{""attribute"": ""ionChannel"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""new"": ""IM"", ""old"": ""Kd""}], ""element_id"": ""Kd_all"", ""generator_seed"": 20260913, ""new_species"": ""k"", ""old_species"": ""k""}",{},2_non_executable,primary_semantic,2_non_executable,False,
m-wrong_compatible_component-c51f0c7ae1,pospischil2008_lts,reference,wrong_compatible_component,"{""changes"": [{""attribute"": ""ionChannel"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all']"", ""new"": ""Kd"", ""old"": ""IM""}], ""element_id"": ""IM_all"", ""generator_seed"": 20260913, ""new_species"": ""k"", ""old_species"": ""k""}",{},2_non_executable,primary_semantic,2_non_executable,False,
