variant_id,model_id,family,operator,params,exec_overrides,original_class,stratum,interpretation,in_primary_semantic_denominator,note
m-scale_conductance-56da844943,pospischil2008_rs,biophysical,scale_conductance,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all']"", ""new"": ""0.0875 mS_per_cm2"", ""old"": ""0.07 mS_per_cm2""}], ""element"": ""channelDensity"", ""element_id"": ""IM_all"", ""factor"": 1.25, ""generator_seed"": 20260913}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-scale_conductance-fa05b19484,pospischil2008_rs,biophysical,scale_conductance,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityVShift[@id='Na_all']"", ""new"": ""45.0 mS_per_cm2"", ""old"": ""50.0 mS_per_cm2""}], ""element"": ""channelDensityVShift"", ""element_id"": ""Na_all"", ""factor"": 0.9, ""generator_seed"": 20260913}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-shift_reversal-2d2e2ab474,pospischil2008_rs,biophysical,shift_reversal,"{""changes"": [{""attribute"": ""erev"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""new"": ""-105.0 mV"", ""old"": ""-100.0 mV""}], ""element"": ""channelDensity"", ""element_id"": ""Kd_all"", ""generator_seed"": 20260913, ""shift_mV"": -5.0}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-shift_reversal-8c42fb9d1f,pospischil2008_rs,biophysical,shift_reversal,"{""changes"": [{""attribute"": ""erev"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all']"", ""new"": ""-95.0 mV"", ""old"": ""-100.0 mV""}], ""element"": ""channelDensity"", ""element_id"": ""IM_all"", ""generator_seed"": 20260913, ""shift_mV"": 5.0}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-scale_capacitance-ca8d29abe3,pospischil2008_rs,biophysical,scale_capacitance,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""new"": ""1.1 uF_per_cm2"", ""old"": ""1.0 uF_per_cm2""}], ""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 1.1, ""generator_seed"": 20260913}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-scale_capacitance-a0c243c06e,pospischil2008_rs,biophysical,scale_capacitance,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""new"": ""2.0 uF_per_cm2"", ""old"": ""1.0 uF_per_cm2""}], ""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 2.0, ""generator_seed"": 20260913}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-scale_gate_time_constant-d9645f95f6,pospischil2008_rs,biophysical,scale_gate_time_constant,"{""channel"": ""Kd"", ""factor"": 2.0, ""gate"": ""n"", ""generator_seed"": 20260913, ""mechanism"": ""q10_insert""}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-scale_gate_time_constant-244443ee5f,pospischil2008_rs,biophysical,scale_gate_time_constant,"{""channel"": ""Na"", ""factor"": 1.25, ""gate"": ""h"", ""generator_seed"": 20260913, ""mechanism"": ""q10_insert""}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-shift_initial_voltage-fa992f061c,pospischil2008_rs,biophysical,shift_initial_voltage,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/initMembPotential[1]"", ""new"": ""-75.0 mV"", ""old"": ""-70.0 mV""}], ""element"": ""initMembPotential"", ""element_id"": null, ""generator_seed"": 20260913, ""shift_mV"": -5.0}",{},4_equivalent_within_tested_domain,primary_semantic,4_equivalent_within_tested_domain,False,
m-shift_initial_voltage-26ed299545,pospischil2008_rs,biophysical,shift_initial_voltage,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/initMembPotential[1]"", ""new"": ""-68.0 mV"", ""old"": ""-70.0 mV""}], ""element"": ""initMembPotential"", ""element_id"": null, ""generator_seed"": 20260913, ""shift_mV"": 2.0}",{},4_equivalent_within_tested_domain,primary_semantic,4_equivalent_within_tested_domain,False,
m-wrong_segment_group-0524556243,pospischil2008_rs,biophysical,wrong_segment_group,"{""changes"": [{""attribute"": ""segmentGroup"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""new"": ""soma_group"", ""old"": null}], ""element"": ""channelDensity"", ""element_id"": ""Kd_all"", ""generator_seed"": 20260913, ""new_group"": ""soma_group""}",{},4_equivalent_within_tested_domain,primary_semantic,4_equivalent_within_tested_domain,False,
m-wrong_segment_group-01dc7ba1d7,pospischil2008_rs,biophysical,wrong_segment_group,"{""changes"": [{""attribute"": ""segmentGroup"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all']"", ""new"": ""Soma"", ""old"": null}], ""element"": ""channelDensity"", ""element_id"": ""IM_all"", ""generator_seed"": 20260913, ""new_group"": ""Soma""}",{},4_equivalent_within_tested_domain,primary_semantic,4_equivalent_within_tested_domain,False,
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,numerical,increase_dt,"{""changes"": [{""attribute"": ""step"", ""locator"": ""/Lems[1]/Component[@id='sim1']"", ""new"": ""0.004ms"", ""old"": ""0.001ms""}], ""factor"": 4, ""generator_seed"": 20260913}","{""dt_factor"": 4}",6_silent_under_canonical,numerical_robustness,numerical_sensitivity_missed_by_canonical (not semantic drift),False,"confound: the canonical harness and the battery started from different base steps (harness step x factor versus nominal battery step x factor), so canonical and battery detections are not comparable for this mutant"
m-increase_dt-f3e1491a0a,pospischil2008_rs,numerical,increase_dt,"{""changes"": [{""attribute"": ""step"", ""locator"": ""/Lems[1]/Component[@id='sim1']"", ""new"": ""0.01ms"", ""old"": ""0.001ms""}], ""factor"": 10, ""generator_seed"": 20260913}","{""dt_factor"": 10}",5_non_equivalent,numerical_robustness,numerical_sensitivity_detected_by_canonical,False,"confound: the canonical harness and the battery started from different base steps (harness step x factor versus nominal battery step x factor), so canonical and battery detections are not comparable for this mutant"
m-solver_config-5b315b1b38,pospischil2008_rs,numerical,solver_config,"{""generator_seed"": 20260913, ""mechanism"": ""insert_meta"", ""method"": ""rk4""}","{""integrator_method"": ""rk4""}",4_equivalent_within_tested_domain,numerical_robustness,no_reproducible_numerical_sensitivity,False,
m-solver_config-61de603422,pospischil2008_rs,numerical,solver_config,"{""generator_seed"": 20260913, ""mechanism"": ""insert_meta"", ""method"": ""eulertree""}","{""integrator_method"": ""eulertree""}",4_equivalent_within_tested_domain,numerical_robustness,no_reproducible_numerical_sensitivity,False,
m-recording_resolution-809fde10a5,pospischil2008_rs,numerical,recording_resolution,"{""generator_seed"": 20260913, ""sample_every_ms"": 0.05}","{""sample_every_ms"": 0.05}",4_equivalent_within_tested_domain,numerical_robustness,no_reproducible_numerical_sensitivity,False,
m-recording_resolution-7d6e4357af,pospischil2008_rs,numerical,recording_resolution,"{""generator_seed"": 20260913, ""sample_every_ms"": 0.25}","{""sample_every_ms"": 0.25}",6_silent_under_canonical,numerical_robustness,numerical_sensitivity_missed_by_canonical (not semantic drift),False,
m-wrong_channel-9d7d66750b,pospischil2008_rs,reference,wrong_channel,"{""changes"": [{""attribute"": ""ionChannel"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_all']"", ""new"": ""Kd"", ""old"": ""LeakConductance""}], ""element_id"": ""LeakConductance_all"", ""generator_seed"": 20260913, ""new_species"": ""k"", ""old_species"": ""non_specific""}",{},3_numerically_unstable,primary_semantic,3_numerically_unstable,False,
m-wrong_channel-ae41ace4e7,pospischil2008_rs,reference,wrong_channel,"{""changes"": [{""attribute"": ""ionChannel"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""new"": ""Na"", ""old"": ""Kd""}], ""element_id"": ""Kd_all"", ""generator_seed"": 20260913, ""new_species"": ""na"", ""old_species"": ""k""}",{},2_non_executable,primary_semantic,2_non_executable,False,
m-omit_include-1e5a6df120,pospischil2008_rs,reference,omit_include,"{""generator_seed"": 20260913, ""href"": ""../../channels/Leak/Leak.channel.nml"", ""removed"": ""<include xmlns=\""http://www.neuroml.org/schema/neuroml2\"" xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" href=\""../../channels/Leak/Leak.channel.nml\""/>""}",{},1_structurally_invalid,primary_semantic,1_structurally_invalid,False,
m-omit_include-323831e37a,pospischil2008_rs,reference,omit_include,"{""generator_seed"": 20260913, ""href"": ""../../channels/Na/Na.channel.nml"", ""removed"": ""<include xmlns=\""http://www.neuroml.org/schema/neuroml2\"" xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" href=\""../../channels/Na/Na.channel.nml\""/>""}",{},2_non_executable,primary_semantic,2_non_executable,False,
m-duplicate_conductance-c92521ba5f,pospischil2008_rs,reference,duplicate_conductance,"{""generator_seed"": 20260913, ""new_id"": ""Kd_all_dup"", ""source_id"": ""Kd_all""}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
m-duplicate_conductance-4e2ab48a04,pospischil2008_rs,reference,duplicate_conductance,"{""generator_seed"": 20260913, ""new_id"": ""IM_all_dup"", ""source_id"": ""IM_all""}",{},5_non_equivalent,primary_semantic,5_non_equivalent,True,
