model_id,protocol_id,feature,kind,f_h,f_h2,f_h4,state_h,state_h2,abs_floor,rel_term,refine_term,tau,limiting,note
pospischil2008_lts,P05_long_step,ap_amplitude,numeric,91.18347931093976,91.13381576739826,91.04212570421478,defined,defined,1.0,1.8236695862187953,0.14899063062449613,1.8236695862187953,relative,
pospischil2008_lts,P05_long_step,ap_half_width,numeric,0.7199999999993452,0.7299999999993361,0.7299999999993361,defined,defined,0.05,0.03599999999996726,0.029999999999972715,0.05,abs_floor,
pospischil2008_lts,P05_long_step,burst_count,count,,,,not_applicable,not_applicable,0.5,0.0,0.0,inf,both_undefined,
pospischil2008_lts,P05_long_step,firing_regime,categorical,single_spike,single_spike,single_spike,defined,defined,0.0,0.0,0.0,0.0,exact,
pospischil2008_lts,P05_long_step,first_isi,numeric,,,,not_applicable,not_applicable,0.5,0.0,0.0,inf,both_undefined,
pospischil2008_lts,P05_long_step,first_spike_latency,numeric,77.49999999980167,77.43999999980173,77.40999999980176,defined,defined,0.5,1.5499999999960334,0.1799999999998363,1.5499999999960334,relative,
pospischil2008_lts,P05_long_step,last_isi,numeric,,,,not_applicable,not_applicable,0.5,0.0,0.0,inf,both_undefined,
pospischil2008_lts,P05_long_step,mean_frequency,numeric,,,,not_applicable,not_applicable,0.5,0.0,0.0,inf,both_undefined,
pospischil2008_lts,P05_long_step,spike_count,count,1.0,1.0,1.0,defined,defined,0.5,0.0,0.0,0.5,abs_floor,
pospischil2008_lts,P06_ramp,firing_regime,categorical,silent,silent,silent,defined,defined,0.0,0.0,0.0,0.0,exact,
pospischil2008_lts,P06_ramp,first_spike_latency,numeric,,,,not_applicable,not_applicable,0.5,0.0,0.0,inf,both_undefined,
pospischil2008_lts,P06_ramp,mean_frequency,numeric,,,,not_applicable,not_applicable,0.5,0.0,0.0,inf,both_undefined,
pospischil2008_lts,P06_ramp,spike_count,count,0.0,0.0,0.0,defined,defined,0.5,0.0,0.0,0.5,abs_floor,
pospischil2008_lts,P07_hyperpolarizing_step,baseline_voltage,numeric,-83.95357068888346,-83.9535706837972,-83.95357073720295,defined,defined,0.5,0.0,1.525879156361043e-08,0.5,abs_floor,
pospischil2008_lts,P07_hyperpolarizing_step,minimum_voltage,numeric,-98.23638916015535,-98.23638153076172,-98.23638916015625,defined,defined,0.5,0.0,2.288818090789846e-05,0.5,abs_floor,
pospischil2008_lts,P07_hyperpolarizing_step,sag_ratio,numeric,0.002045539263618266,0.0020454617263496017,0.0020461092256191978,defined,defined,0.02,0.0001022769631809133,2.3261180599276968e-07,0.02,abs_floor,
pospischil2008_lts,P07_hyperpolarizing_step,steady_state_voltage,numeric,-98.20717309417724,-98.20716658782956,-98.2071649536132,defined,defined,0.5,0.0,1.9519043021887228e-05,0.5,abs_floor,
pospischil2008_lts,P07_hyperpolarizing_step,voltage_deflection,numeric,-14.253602405293776,-14.253595904032366,-14.25359421641025,defined,defined,0.5,0.7126801202646889,1.9503784230323618e-05,0.7126801202646889,relative,
pospischil2008_lts,P08_rebound,firing_regime,categorical,silent,silent,silent,defined,defined,0.0,0.0,0.0,0.0,exact,
pospischil2008_lts,P08_rebound,first_spike_latency,numeric,,,,not_applicable,not_applicable,0.5,0.0,0.0,inf,both_undefined,
pospischil2008_lts,P08_rebound,maximum_voltage,numeric,-85.8170776367331,-85.81714630128519,-85.81720733644144,defined,defined,1.0,0.0,0.0002059936562659459,1.0,abs_floor,
pospischil2008_lts,P08_rebound,spike_count,count,0.0,0.0,0.0,defined,defined,0.5,0.0,0.0,0.5,abs_floor,
