variant_id,operator,family,edits,exec_overrides,assigned_class,detecting_protocols,human_auditor,edit_matches_label (yes/no),class_plausible (yes/no),notes
m-scale_conductance-56da844943,scale_conductance,biophysical,"[{""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all']"", ""attribute"": ""condDensity"", ""old"": ""0.07 mS_per_cm2"", ""new"": ""0.0875 mS_per_cm2"", ""action"": ""set"", ""note"": ""scale_conductance""}]",{},5_non_equivalent,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp,,,,
m-scale_conductance-fa05b19484,scale_conductance,biophysical,"[{""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityVShift[@id='Na_all']"", ""attribute"": ""condDensity"", ""old"": ""50.0 mS_per_cm2"", ""new"": ""45.0 mS_per_cm2"", ""action"": ""set"", ""note"": ""scale_conductance""}]",{},5_non_equivalent,P00_canonical;P05_long_step,,,,
m-shift_reversal-2d2e2ab474,shift_reversal,biophysical,"[{""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""attribute"": ""erev"", ""old"": ""-100.0 mV"", ""new"": ""-105.0 mV"", ""action"": ""set"", ""note"": ""shift_reversal""}]",{},5_non_equivalent,P00_canonical;P04_step_2x;P05_long_step,,,,
m-shift_reversal-8c42fb9d1f,shift_reversal,biophysical,"[{""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all']"", ""attribute"": ""erev"", ""old"": ""-100.0 mV"", ""new"": ""-95.0 mV"", ""action"": ""set"", ""note"": ""shift_reversal""}]",{},5_non_equivalent,P00_canonical;P04_step_2x;P05_long_step;P06_ramp,,,,
m-scale_capacitance-ca8d29abe3,scale_capacitance,biophysical,"[{""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""attribute"": ""value"", ""old"": ""1.0 uF_per_cm2"", ""new"": ""1.1 uF_per_cm2"", ""action"": ""set"", ""note"": ""scale_capacitance""}]",{},5_non_equivalent,P00_canonical;P04_step_2x;P05_long_step;P06_ramp,,,,
m-scale_capacitance-a0c243c06e,scale_capacitance,biophysical,"[{""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""attribute"": ""value"", ""old"": ""1.0 uF_per_cm2"", ""new"": ""2.0 uF_per_cm2"", ""action"": ""set"", ""note"": ""scale_capacitance""}]",{},5_non_equivalent,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse;P10_paired_pulses,,,,
m-scale_gate_time_constant-d9645f95f6,scale_gate_time_constant,biophysical,"[{""file"": ""NeuroML2/channels/Kd/Kd.channel.nml"", ""locator"": ""/neuroml[@id='Kd']/ionChannel[@id='Kd']/gate[@id='n']/q10Settings[1]"", ""attribute"": null, ""old"": null, ""new"": ""<q10Settings xmlns=\""http://www.neuroml.org/schema/neuroml2\"" xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" type=\""q10Fixed\"" fixedQ10=\""2\""/>"", ""action"": ""insert"", ""note"": ""scale_gate_time_constant""}]",{},5_non_equivalent,P00_canonical;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse;P10_paired_pulses,,,,
m-scale_gate_time_constant-244443ee5f,scale_gate_time_constant,biophysical,"[{""file"": ""NeuroML2/channels/Na/Na.channel.nml"", ""locator"": ""/neuroml[@id='Na']/ionChannel[@id='Na']/gate[@id='h']/q10Settings[1]"", ""attribute"": null, ""old"": null, ""new"": ""<q10Settings xmlns=\""http://www.neuroml.org/schema/neuroml2\"" xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" type=\""q10Fixed\"" fixedQ10=\""1.25\""/>"", ""action"": ""insert"", ""note"": ""scale_gate_time_constant""}]",{},5_non_equivalent,P00_canonical;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,,,,
m-shift_initial_voltage-fa992f061c,shift_initial_voltage,biophysical,"[{""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/initMembPotential[1]"", ""attribute"": ""value"", ""old"": ""-70.0 mV"", ""new"": ""-75.0 mV"", ""action"": ""set"", ""note"": ""shift_initial_voltage""}]",{},4_equivalent_within_tested_domain,,,,,
m-shift_initial_voltage-26ed299545,shift_initial_voltage,biophysical,"[{""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/initMembPotential[1]"", ""attribute"": ""value"", ""old"": ""-70.0 mV"", ""new"": ""-68.0 mV"", ""action"": ""set"", ""note"": ""shift_initial_voltage""}]",{},4_equivalent_within_tested_domain,,,,,
