variant_id,model_id,kind,family,operator,params,class,admissible,structural_valid,libneuroml_strict,status_h,n_detections_h,n_detections_h2,canonical_detected_h,canonical_detected_reproducible,detecting_protocols,canonical_runs_but_battery_failed,runtime_s
m-wrong_segment_group-01dc7ba1d7,pospischil2008_rs,mutant,biophysical,wrong_segment_group,"{""changes"": [{""attribute"": ""segmentGroup"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all']"", ""new"": ""Soma"", ""old"": null}], ""element"": ""channelDensity"", ""element_id"": ""IM_all"", ""generator_seed"": 20260913, ""new_group"": ""Soma""}",4_equivalent_within_tested_domain,False,True,True,ok,0,,False,False,,False,595.407
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,mutant,numerical,increase_dt,"{""changes"": [{""attribute"": ""step"", ""locator"": ""/Lems[1]/Component[@id='sim1']"", ""new"": ""0.004ms"", ""old"": ""0.001ms""}], ""factor"": 4, ""generator_seed"": 20260913}",6_silent_under_canonical,True,True,True,ok,11,3,False,False,P04_step_2x;P05_long_step,False,467.741
m-increase_dt-f3e1491a0a,pospischil2008_rs,mutant,numerical,increase_dt,"{""changes"": [{""attribute"": ""step"", ""locator"": ""/Lems[1]/Component[@id='sim1']"", ""new"": ""0.01ms"", ""old"": ""0.001ms""}], ""factor"": 10, ""generator_seed"": 20260913}",5_non_equivalent,True,True,True,ok,16,10,True,True,P00_canonical;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,False,221.962
m-solver_config-5b315b1b38,pospischil2008_rs,mutant,numerical,solver_config,"{""generator_seed"": 20260913, ""mechanism"": ""insert_meta"", ""method"": ""rk4""}",4_equivalent_within_tested_domain,False,True,True,ok,0,,False,False,,False,555.229
m-solver_config-61de603422,pospischil2008_rs,mutant,numerical,solver_config,"{""generator_seed"": 20260913, ""mechanism"": ""insert_meta"", ""method"": ""eulertree""}",4_equivalent_within_tested_domain,False,True,True,ok,0,,False,False,,False,581.816
m-recording_resolution-809fde10a5,pospischil2008_rs,mutant,numerical,recording_resolution,"{""generator_seed"": 20260913, ""sample_every_ms"": 0.05}",4_equivalent_within_tested_domain,False,True,True,ok,0,,False,False,,False,541.162
m-recording_resolution-7d6e4357af,pospischil2008_rs,mutant,numerical,recording_resolution,"{""generator_seed"": 20260913, ""sample_every_ms"": 0.25}",6_silent_under_canonical,True,True,True,ok,3,4,False,False,P05_long_step;P09_short_pulse,False,1449.85
m-wrong_channel-9d7d66750b,pospischil2008_rs,mutant,reference,wrong_channel,"{""changes"": [{""attribute"": ""ionChannel"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_all']"", ""new"": ""Kd"", ""old"": ""LeakConductance""}], ""element_id"": ""LeakConductance_all"", ""generator_seed"": 20260913, ""new_species"": ""k"", ""old_species"": ""non_specific""}",3_numerically_unstable,False,True,True,numerically_unstable,0,,False,False,,True,493.619
m-wrong_channel-ae41ace4e7,pospischil2008_rs,mutant,reference,wrong_channel,"{""changes"": [{""attribute"": ""ionChannel"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""new"": ""Na"", ""old"": ""Kd""}], ""element_id"": ""Kd_all"", ""generator_seed"": 20260913, ""new_species"": ""na"", ""old_species"": ""k""}",2_non_executable,False,True,True,build_error,0,,False,False,,False,521.109
m-omit_include-1e5a6df120,pospischil2008_rs,mutant,reference,omit_include,"{""generator_seed"": 20260913, ""href"": ""../../channels/Leak/Leak.channel.nml"", ""removed"": ""<include xmlns=\""http://www.neuroml.org/schema/neuroml2\"" xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" href=\""../../channels/Leak/Leak.channel.nml\""/>""}",1_structurally_invalid,False,False,True,not_run,0,,False,False,,False,0.0
m-omit_include-323831e37a,pospischil2008_rs,mutant,reference,omit_include,"{""generator_seed"": 20260913, ""href"": ""../../channels/Na/Na.channel.nml"", ""removed"": ""<include xmlns=\""http://www.neuroml.org/schema/neuroml2\"" xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" href=\""../../channels/Na/Na.channel.nml\""/>""}",2_non_executable,False,True,True,build_error,0,,False,False,,True,48.259
m-duplicate_conductance-c92521ba5f,pospischil2008_rs,mutant,reference,duplicate_conductance,"{""generator_seed"": 20260913, ""new_id"": ""Kd_all_dup"", ""source_id"": ""Kd_all""}",5_non_equivalent,True,True,True,ok,21,22,True,True,P00_canonical;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,False,1909.883
m-duplicate_conductance-4e2ab48a04,pospischil2008_rs,mutant,reference,duplicate_conductance,"{""generator_seed"": 20260913, ""new_id"": ""IM_all_dup"", ""source_id"": ""IM_all""}",5_non_equivalent,True,True,True,ok,31,31,True,True,P00_canonical;P01_baseline;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P07_hyperpolarizing_step;P09_short_pulse,False,1911.872
m-wrong_compatible_component-6f57d23e68,pospischil2008_rs,mutant,reference,wrong_compatible_component,"{""changes"": [{""attribute"": ""ionChannel"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""new"": ""IM"", ""old"": ""Kd""}], ""element_id"": ""Kd_all"", ""generator_seed"": 20260913, ""new_species"": ""k"", ""old_species"": ""k""}",2_non_executable,False,True,True,build_error,0,,False,False,,False,444.412
m-wrong_compatible_component-b3f30eac45,pospischil2008_rs,mutant,reference,wrong_compatible_component,"{""changes"": [{""attribute"": ""ionChannel"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all']"", ""new"": ""Kd"", ""old"": ""IM""}], ""element_id"": ""IM_all"", ""generator_seed"": 20260913, ""new_species"": ""k"", ""old_species"": ""k""}",2_non_executable,False,True,True,build_error,0,,False,False,,False,469.038
pospischil2008_rs__unit_conversion__000,pospischil2008_rs,valid_transform,unit_conversion,unit_conversion,"{""attribute"": ""value"", ""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""generator_seed"": 20260913, ""locator"": ""/neuroml/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/initMembPotential[1]"", ""n_sites"": 39, ""new"": ""-0.07 V"", ""old"": ""-70.0 mV"", ""site_index"": 15, ""to_unit"": ""V"", ""xsd_type"": ""Nml2Quantity_voltage""}",4_equivalent_within_tested_domain,False,True,True,ok,0,,False,False,,False,297.621
pospischil2008_rs__xml_formatting__000,pospischil2008_rs,no_change_control,formatting,xml_formatting,"{""file"": ""NeuroML2/channels/IM/IM.channel.nml"", ""generator_seed"": 20260913, ""locator"": ""/neuroml"", ""n_sites"": 14, ""site_index"": 6, ""style"": ""reindent""}",4_equivalent_within_tested_domain,False,True,True,ok,0,,False,False,,False,497.161
pospischil2008_rs__add_comments__000,pospischil2008_rs,no_change_control,formatting,add_comments,"{""file"": ""NeuroML2/channels/Leak/Leak.channel.nml"", ""generator_seed"": 20260913, ""locator"": ""/neuroml"", ""n_sites"": 21, ""position"": ""before_each_child"", ""site_index"": 16}",4_equivalent_within_tested_domain,False,True,True,ok,0,,False,False,,False,301.169
pospischil2008_rs__numeric_literal_format__000,pospischil2008_rs,valid_transform,literal_format,numeric_literal_format,"{""attribute"": ""condDensity"", ""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""generator_seed"": 20260913, ""locator"": ""/neuroml/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_all']"", ""n_sites"": 126, ""new"": ""0.10 mS_per_cm2"", ""old"": ""0.1 mS_per_cm2"", ""site_index"": 18, ""style"": ""padded"", ""xsd_type"": ""Nml2Quantity_conductanceDensity""}",4_equivalent_within_tested_domain,False,True,True,ok,0,,False,False,,False,545.505
pospischil2008_rs__rename_identifier__000,pospischil2008_rs,valid_transform,renaming,rename_identifier,"{""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""generator_seed"": 20260913, ""kind"": ""channelDensity"", ""locator"": ""/neuroml/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""n_sites"": 20, ""new"": ""Kd_all_renamed"", ""old"": ""Kd_all"", ""site_index"": 6}",4_equivalent_within_tested_domain,False,True,True,ok,0,,False,False,,False,502.426
pospischil2008_rs__factor_file__000,pospischil2008_rs,valid_transform,factoring,factor_file,"{""element"": ""pulseGenerator"", ""file"": ""NeuroML2/cells/RS/RS.net.nml"", ""generator_seed"": 20260913, ""ident"": ""Input_1"", ""locator"": ""/neuroml/pulseGenerator[@id='Input_1']"", ""n_sites"": 11, ""new_file"": ""NeuroML2/cells/RS/Input_1.factored.nml"", ""site_index"": 1}",4_equivalent_within_tested_domain,False,True,True,ok,0,,False,False,,False,318.325
pospischil2008_rs__reorder_independent__000,pospischil2008_rs,valid_transform,reordering,reorder_independent,"{""count"": 2, ""file"": ""NeuroML2/channels/Kd/Kd.channel.nml"", ""first"": 1, ""generator_seed"": 20260913, ""locator"": ""/neuroml"", ""n_sites"": 13, ""permutation"": ""reverse"", ""site_index"": 9, ""tag"": ""ComponentType""}",4_equivalent_within_tested_domain,False,True,True,ok,0,,False,False,,False,519.059
pospischil2008_rs__explicit_default__000,pospischil2008_rs,valid_transform,explicit_default,explicit_default,"{""attribute"": ""segmentGroup"", ""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""generator_seed"": 20260913, ""locator"": ""/neuroml/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""n_sites"": 8, ""site_index"": 5, ""value"": ""all"", ""xsd_type"": ""SpecificCapacitance""}",4_equivalent_within_tested_domain,False,True,True,ok,0,,False,False,,False,525.781
m-scale_conductance-9b1ec69fe4,pospischil2008_lts,mutant,biophysical,scale_conductance,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all']"", ""new"": ""2.7e-5 S_per_cm2"", ""old"": ""3e-5 S_per_cm2""}], ""element"": ""channelDensity"", ""element_id"": ""IM_all"", ""factor"": 0.9, ""generator_seed"": 20260913}",5_non_equivalent,True,True,False,ok,2,2,True,True,P00_canonical,False,1937.372
m-scale_conductance-1000aafe3e,pospischil2008_lts,mutant,biophysical,scale_conductance,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityNernst[@id='IT_all']"", ""new"": ""3.6e-4 S_per_cm2"", ""old"": ""4e-4 S_per_cm2""}], ""element"": ""channelDensityNernst"", ""element_id"": ""IT_all"", ""factor"": 0.9, ""generator_seed"": 20260913}",5_non_equivalent,True,True,False,ok,9,9,True,True,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step,False,2078.622
m-shift_reversal-27f94c8222,pospischil2008_lts,mutant,biophysical,shift_reversal,"{""changes"": [{""attribute"": ""erev"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Na_all']"", ""new"": ""45.0 mV"", ""old"": ""50.0 mV""}], ""element"": ""channelDensity"", ""element_id"": ""Na_all"", ""generator_seed"": 20260913, ""shift_mV"": -5.0}",5_non_equivalent,True,True,False,ok,8,8,True,True,P00_canonical;P04_step_2x;P05_long_step,False,2122.562
