variant_id,model_id,kind,family,operator,params,class,admissible,structural_valid,libneuroml_strict,status_h,n_detections_h,n_detections_h2,canonical_detected_h,canonical_detected_reproducible,detecting_protocols,canonical_runs_but_battery_failed,runtime_s
m-omit_include-7207b139f8,pospischil2008_lts,mutant,reference,omit_include,"{""generator_seed"": 20260913, ""href"": ""../../channels/Ca/Ca.nml"", ""removed"": ""<include xmlns=\""http://www.neuroml.org/schema/neuroml2\"" xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" href=\""../../channels/Ca/Ca.nml\""/>""}",2_non_executable,False,True,False,build_error,0,,False,False,,True,63.738
m-duplicate_conductance-49ac9c1585,pospischil2008_lts,mutant,reference,duplicate_conductance,"{""generator_seed"": 20260913, ""new_id"": ""Na_all_dup"", ""source_id"": ""Na_all""}",5_non_equivalent,True,True,False,ok,9,9,True,True,P00_canonical;P04_step_2x;P05_long_step,False,1669.626
m-duplicate_conductance-e09481d53c,pospischil2008_lts,mutant,reference,duplicate_conductance,"{""generator_seed"": 20260913, ""new_id"": ""Kd_all_dup"", ""source_id"": ""Kd_all""}",5_non_equivalent,True,True,False,ok,11,11,True,True,P00_canonical;P04_step_2x;P05_long_step,False,1614.421
m-wrong_compatible_component-30dde70761,pospischil2008_lts,mutant,reference,wrong_compatible_component,"{""changes"": [{""attribute"": ""ionChannel"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""new"": ""IM"", ""old"": ""Kd""}], ""element_id"": ""Kd_all"", ""generator_seed"": 20260913, ""new_species"": ""k"", ""old_species"": ""k""}",2_non_executable,False,True,False,build_error,0,,False,False,,False,628.803
m-wrong_compatible_component-c51f0c7ae1,pospischil2008_lts,mutant,reference,wrong_compatible_component,"{""changes"": [{""attribute"": ""ionChannel"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all']"", ""new"": ""Kd"", ""old"": ""IM""}], ""element_id"": ""IM_all"", ""generator_seed"": 20260913, ""new_species"": ""k"", ""old_species"": ""k""}",2_non_executable,False,True,False,build_error,0,,False,False,,False,659.242
pospischil2008_lts__unit_conversion__000,pospischil2008_lts,valid_transform,unit_conversion,unit_conversion,"{""attribute"": ""conductance"", ""file"": ""NeuroML2/channels/Kd/Kd.channel.nml"", ""generator_seed"": 20260913, ""locator"": ""/neuroml/ionChannel[@id='Kd']"", ""n_sites"": 51, ""new"": ""1e-11S"", ""old"": ""10pS"", ""site_index"": 39, ""to_unit"": ""S"", ""xsd_type"": ""Nml2Quantity_conductance""}",4_equivalent_within_tested_domain,False,True,False,ok,0,,False,False,,False,706.602
pospischil2008_lts__xml_formatting__000,pospischil2008_lts,no_change_control,formatting,xml_formatting,"{""file"": ""NeuroML2/channels/Ca/Ca.nml"", ""generator_seed"": 20260913, ""locator"": ""/neuroml"", ""n_sites"": 18, ""site_index"": 7, ""style"": ""attribute_order""}",4_equivalent_within_tested_domain,False,True,False,ok,0,,False,False,,False,657.169
pospischil2008_lts__add_comments__000,pospischil2008_lts,no_change_control,formatting,add_comments,"{""file"": ""NeuroML2/cells/LTS/LTS.cell.nml"", ""generator_seed"": 20260913, ""locator"": ""/neuroml"", ""n_sites"": 27, ""position"": ""root_start"", ""site_index"": 3}",4_equivalent_within_tested_domain,False,True,False,ok,0,,False,False,,False,671.576
pospischil2008_lts__numeric_literal_format__000,pospischil2008_lts,valid_transform,literal_format,numeric_literal_format,"{""attribute"": ""value"", ""file"": ""NeuroML2/cells/LTS/LTS.cell.nml"", ""generator_seed"": 20260913, ""locator"": ""/neuroml/cell[@id='LTS']/biophysicalProperties[@id='biophys']/intracellularProperties[1]/resistivity[1]"", ""n_sites"": 153, ""new"": ""100.0 ohm_cm"", ""old"": ""100 ohm_cm"", ""site_index"": 65, ""style"": ""padded"", ""xsd_type"": ""Nml2Quantity_resistivity""}",4_equivalent_within_tested_domain,False,True,False,ok,0,,False,False,,False,671.752
pospischil2008_lts__rename_identifier__000,pospischil2008_lts,valid_transform,renaming,rename_identifier,"{""file"": ""NeuroML2/cells/LTS/LTS.cell.nml"", ""generator_seed"": 20260913, ""kind"": ""segmentGroup"", ""locator"": ""/neuroml/cell[@id='LTS']/morphology[@id='morphology_LTS']/segmentGroup[@id='soma_group']"", ""n_sites"": 25, ""new"": ""soma_group_renamed"", ""old"": ""soma_group"", ""site_index"": 3}",4_equivalent_within_tested_domain,False,True,False,ok,0,,False,False,,False,654.87
pospischil2008_lts__factor_file__000,pospischil2008_lts,valid_transform,factoring,factor_file,"{""element"": ""ComponentType"", ""file"": ""NeuroML2/channels/Na/Na.channel.nml"", ""generator_seed"": 20260913, ""ident"": ""Na_h_alpha_rate"", ""locator"": ""/neuroml/ComponentType[@name='Na_h_alpha_rate']"", ""n_sites"": 15, ""new_file"": ""NeuroML2/channels/Na/Na_h_alpha_rate.factored.nml"", ""site_index"": 13}",4_equivalent_within_tested_domain,False,True,False,ok,0,,False,False,,False,571.833
pospischil2008_lts__reorder_independent__000,pospischil2008_lts,valid_transform,reordering,reorder_independent,"{""count"": 4, ""file"": ""NeuroML2/channels/IT/IT.channel.nml"", ""first"": 1, ""generator_seed"": 20260913, ""locator"": ""/neuroml"", ""n_sites"": 14, ""permutation"": ""reverse"", ""site_index"": 7, ""tag"": ""ComponentType""}",4_equivalent_within_tested_domain,False,True,False,ok,0,,False,False,,False,541.902
pospischil2008_lts__explicit_default__000,pospischil2008_lts,valid_transform,explicit_default,explicit_default,"{""attribute"": ""segmentGroup"", ""file"": ""NeuroML2/cells/LTS/LTS.cell.nml"", ""generator_seed"": 20260913, ""locator"": ""/neuroml/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Na_all']"", ""n_sites"": 10, ""site_index"": 1, ""value"": ""all"", ""xsd_type"": ""ChannelDensity""}",4_equivalent_within_tested_domain,False,True,False,ok,0,,False,False,,False,501.884
