model_id,protocol_id,feature,f_h,state_h,f_h2,f_h4,d12,d24,observed_order
pospischil2008_rs,P00_canonical,adaptation_index,0.2988218828985024,defined,0.2989579287624928,0.29897507423197267,0.0001360458639903528,1.7145469479895592e-05,2.9881937830153675
pospischil2008_rs,P00_canonical,ahp_depth,2.861194747922525,defined,2.9394112752346615,2.978420361836754,0.07821652731213646,0.03900908660209268,1.0036632661078215
pospischil2008_rs,P00_canonical,ap_amplitude,88.85420990112726,defined,88.78027725318925,88.85550689834986,0.07393264793800824,0.07522964516060426,-0.025089700379656518
pospischil2008_rs,P00_canonical,ap_half_width,0.6999999999993634,defined,0.6999999999993634,0.6999999999993634,0.0,0.0,
pospischil2008_rs,P00_canonical,baseline_voltage,-70.57644285583496,defined,-70.57644283040365,-70.57644282277425,2.5431305061829335e-08,7.629395781805215e-09,1.736964787997437
pospischil2008_rs,P00_canonical,firing_regime,adapting,defined,adapting,adapting,,,
pospischil2008_rs,P00_canonical,first_isi,28.06999999997447,defined,28.029999999974507,27.999999999974534,0.03999999999996362,0.029999999999972715,0.41503749927884376
pospischil2008_rs,P00_canonical,first_spike_latency,20.749999999853287,defined,20.739999999853296,20.739999999853296,0.009999999999990905,0.0,
pospischil2008_rs,P00_canonical,last_isi,135.97999999987638,defined,135.78999999987656,135.69999999987664,0.1899999999998272,0.08999999999991815,1.078002512001273
pospischil2008_rs,P00_canonical,mean_frequency,17.03113291098414,defined,17.059606264310375,17.073587160685435,0.02847335332623402,0.013980896375059615,1.026155549236768
pospischil2008_rs,P00_canonical,spike_count,5.0,defined,5.0,5.0,0.0,0.0,
pospischil2008_rs,P01_baseline,baseline_voltage,-70.57644295501709,defined,-70.5764428838094,-70.57644285837809,7.120767975266062e-08,2.543131927268405e-08,1.485426539252876
pospischil2008_rs,P01_baseline,firing_regime,silent,defined,silent,silent,,,
pospischil2008_rs,P01_baseline,spike_count,0.0,defined,0.0,0.0,0.0,0.0,
pospischil2008_rs,P01_baseline,steady_state_voltage,-70.57128326633999,defined,-70.5712832685198,-70.57128326960972,2.1798172156195506e-09,1.0899157132371329e-09,0.9999905946871835
pospischil2008_rs,P02_weak_step,baseline_voltage,-70.57644295501709,defined,-70.5764428838094,-70.57644245656336,7.120767975266062e-08,4.272460500942543e-07,-2.5849624047486883
pospischil2008_rs,P02_weak_step,spike_count,0.0,defined,0.0,0.0,0.0,0.0,
pospischil2008_rs,P02_weak_step,steady_state_voltage,-61.915689658355596,defined,-61.91568922958361,-61.9156893104553,4.287719832518633e-07,8.087168623660546e-08,2.406504042356149
pospischil2008_rs,P02_weak_step,voltage_deflection,8.66075329666149,defined,8.660753654225793,8.660753146108057,3.5756430349920265e-07,5.081177363308598e-07,-0.5069601076426014
pospischil2008_rs,P03_rheobase,rheobase,0.5606515948364182,defined,0.5606515948364182,0.5606515948364182,0.0,0.0,
pospischil2008_rs,P04_step_2x,adaptation_index,0.018020491828063687,defined,0.018206269147133136,0.01830016111987434,0.0001857773190694495,9.389197274120228e-05,0.9845006530712672
pospischil2008_rs,P04_step_2x,ahp_depth,3.2025415878387236,defined,3.6095391972804407,3.811037501010617,0.40699760944171715,0.20149830373017608,1.014252626853457
pospischil2008_rs,P04_step_2x,ap_amplitude,89.49588775782593,defined,89.44855880885186,89.41038513298949,0.04732894897406936,0.03817367586236742,0.3101447698984528
pospischil2008_rs,P04_step_2x,ap_half_width,0.6999999999993634,defined,0.6999999999993634,0.7099999999993543,0.0,0.009999999999990905,
pospischil2008_rs,P04_step_2x,burst_count,1.0,defined,1.0,1.0,0.0,0.0,
pospischil2008_rs,P04_step_2x,firing_regime,tonic,defined,tonic,tonic,,,
pospischil2008_rs,P04_step_2x,first_isi,13.069999999988113,defined,12.92999999998824,12.869999999988295,0.13999999999987267,0.05999999999994543,1.222392421336448
pospischil2008_rs,P04_step_2x,first_spike_latency,10.689999999862437,defined,10.659999999862464,10.639999999862482,0.029999999999972715,0.01999999999998181,0.5849625007211562
pospischil2008_rs,P04_step_2x,last_isi,28.16999999997438,defined,28.06999999997447,28.009999999974525,0.09999999999990905,0.05999999999994543,0.7369655941662062
pospischil2008_rs,P04_step_2x,mean_frequency,44.11292909854356,defined,44.38974193423394,44.5308072221393,0.27681283569037873,0.14106528790536288,0.972547815656055
pospischil2008_rs,P04_step_2x,spike_count,22.0,defined,22.0,22.0,0.0,0.0,
pospischil2008_rs,P05_long_step,adaptation_index,0.02130270892949869,defined,0.021450084876352596,0.021523147383456034,0.00014737594685390598,7.306250710343784e-05,1.0122979171709385
pospischil2008_rs,P05_long_step,ahp_depth,2.4773294906594145,defined,2.8773233159343334,3.0753201293999552,0.3999938252749189,0.1979968134656218,1.0145005172653294
pospischil2008_rs,P05_long_step,ap_amplitude,89.18265915023935,defined,89.08078384555085,89.01884842064456,0.10187530468849104,0.06193542490629511,0.7179676522082291
pospischil2008_rs,P05_long_step,ap_half_width,0.6999999999993634,defined,0.6999999999993634,0.6999999999993634,0.0,0.0,
pospischil2008_rs,P05_long_step,burst_count,1.0,defined,1.0,1.0,0.0,0.0,
pospischil2008_rs,P05_long_step,firing_regime,tonic,defined,tonic,tonic,,,
pospischil2008_rs,P05_long_step,first_isi,21.2199999999807,defined,21.019999999980882,20.919999999980973,0.1999999999998181,0.09999999999990905,1.0
pospischil2008_rs,P05_long_step,first_spike_latency,16.619999999857043,defined,16.58999999985707,16.56999999985709,0.029999999999972715,0.01999999999998181,0.5849625007211562
