variant_id,model_id,kind,operator,family,tolerance_multiplier,class
m-scale_gate_time_constant-eb0c17da65,acnet2_pyr_soma,mutant,scale_gate_time_constant,biophysical,2.0,5_non_equivalent
m-scale_gate_time_constant-eb0c17da65,acnet2_pyr_soma,mutant,scale_gate_time_constant,biophysical,4.0,5_non_equivalent
m-shift_gate_midpoint-e68b2bd3be,acnet2_pyr_soma,mutant,shift_gate_midpoint,kinetics,0.5,5_non_equivalent
m-shift_gate_midpoint-e68b2bd3be,acnet2_pyr_soma,mutant,shift_gate_midpoint,kinetics,1.0,5_non_equivalent
m-shift_gate_midpoint-e68b2bd3be,acnet2_pyr_soma,mutant,shift_gate_midpoint,kinetics,2.0,5_non_equivalent
m-shift_gate_midpoint-e68b2bd3be,acnet2_pyr_soma,mutant,shift_gate_midpoint,kinetics,4.0,5_non_equivalent
m-shift_gate_midpoint-3c7134e6ec,acnet2_pyr_soma,mutant,shift_gate_midpoint,kinetics,0.5,5_non_equivalent
m-shift_gate_midpoint-3c7134e6ec,acnet2_pyr_soma,mutant,shift_gate_midpoint,kinetics,1.0,5_non_equivalent
m-shift_gate_midpoint-3c7134e6ec,acnet2_pyr_soma,mutant,shift_gate_midpoint,kinetics,2.0,5_non_equivalent
m-shift_gate_midpoint-3c7134e6ec,acnet2_pyr_soma,mutant,shift_gate_midpoint,kinetics,4.0,5_non_equivalent
m-scale_gate_slope-d122bda225,acnet2_pyr_soma,mutant,scale_gate_slope,kinetics,0.5,5_non_equivalent
m-scale_gate_slope-d122bda225,acnet2_pyr_soma,mutant,scale_gate_slope,kinetics,1.0,5_non_equivalent
m-scale_gate_slope-d122bda225,acnet2_pyr_soma,mutant,scale_gate_slope,kinetics,2.0,5_non_equivalent
m-scale_gate_slope-d122bda225,acnet2_pyr_soma,mutant,scale_gate_slope,kinetics,4.0,5_non_equivalent
m-shift_forward_rate_midpoint-26075274d4,acnet2_pyr_soma,mutant,shift_forward_rate_midpoint,kinetics,0.5,5_non_equivalent
m-shift_forward_rate_midpoint-26075274d4,acnet2_pyr_soma,mutant,shift_forward_rate_midpoint,kinetics,1.0,5_non_equivalent
m-shift_forward_rate_midpoint-26075274d4,acnet2_pyr_soma,mutant,shift_forward_rate_midpoint,kinetics,2.0,5_non_equivalent
m-shift_forward_rate_midpoint-26075274d4,acnet2_pyr_soma,mutant,shift_forward_rate_midpoint,kinetics,4.0,5_non_equivalent
m-increase_dt-22bc5325eb,acnet2_pyr_soma,mutant,increase_dt,numerical,0.5,5_non_equivalent
m-increase_dt-22bc5325eb,acnet2_pyr_soma,mutant,increase_dt,numerical,1.0,4_equivalent_within_tested_domain
m-increase_dt-22bc5325eb,acnet2_pyr_soma,mutant,increase_dt,numerical,2.0,4_equivalent_within_tested_domain
m-increase_dt-22bc5325eb,acnet2_pyr_soma,mutant,increase_dt,numerical,4.0,4_equivalent_within_tested_domain
m-solver_config-83b0ebd45b,acnet2_pyr_soma,mutant,solver_config,numerical,0.5,4_equivalent_within_tested_domain
m-solver_config-83b0ebd45b,acnet2_pyr_soma,mutant,solver_config,numerical,1.0,4_equivalent_within_tested_domain
m-solver_config-83b0ebd45b,acnet2_pyr_soma,mutant,solver_config,numerical,2.0,4_equivalent_within_tested_domain
m-solver_config-83b0ebd45b,acnet2_pyr_soma,mutant,solver_config,numerical,4.0,4_equivalent_within_tested_domain
m-recording_resolution-a5f502f6d0,acnet2_pyr_soma,mutant,recording_resolution,numerical,0.5,4_equivalent_within_tested_domain
m-recording_resolution-a5f502f6d0,acnet2_pyr_soma,mutant,recording_resolution,numerical,1.0,4_equivalent_within_tested_domain
m-recording_resolution-a5f502f6d0,acnet2_pyr_soma,mutant,recording_resolution,numerical,2.0,4_equivalent_within_tested_domain
m-recording_resolution-a5f502f6d0,acnet2_pyr_soma,mutant,recording_resolution,numerical,4.0,4_equivalent_within_tested_domain
m-wrong_channel-749374c5d2,acnet2_pyr_soma,mutant,wrong_channel,reference,0.5,5_non_equivalent
m-wrong_channel-749374c5d2,acnet2_pyr_soma,mutant,wrong_channel,reference,1.0,5_non_equivalent
m-wrong_channel-749374c5d2,acnet2_pyr_soma,mutant,wrong_channel,reference,2.0,5_non_equivalent
m-wrong_channel-749374c5d2,acnet2_pyr_soma,mutant,wrong_channel,reference,4.0,5_non_equivalent
m-omit_include-b072277531,acnet2_pyr_soma,mutant,omit_include,reference,0.5,2_non_executable
m-omit_include-b072277531,acnet2_pyr_soma,mutant,omit_include,reference,1.0,2_non_executable
m-omit_include-b072277531,acnet2_pyr_soma,mutant,omit_include,reference,2.0,2_non_executable
m-omit_include-b072277531,acnet2_pyr_soma,mutant,omit_include,reference,4.0,2_non_executable
m-duplicate_conductance-bdd4b1d9e1,acnet2_pyr_soma,mutant,duplicate_conductance,reference,0.5,5_non_equivalent
m-duplicate_conductance-bdd4b1d9e1,acnet2_pyr_soma,mutant,duplicate_conductance,reference,1.0,5_non_equivalent
m-duplicate_conductance-bdd4b1d9e1,acnet2_pyr_soma,mutant,duplicate_conductance,reference,2.0,5_non_equivalent
m-duplicate_conductance-bdd4b1d9e1,acnet2_pyr_soma,mutant,duplicate_conductance,reference,4.0,5_non_equivalent
m-wrong_compatible_component-a38cf2a7ad,acnet2_pyr_soma,mutant,wrong_compatible_component,reference,0.5,5_non_equivalent
m-wrong_compatible_component-a38cf2a7ad,acnet2_pyr_soma,mutant,wrong_compatible_component,reference,1.0,5_non_equivalent
m-wrong_compatible_component-a38cf2a7ad,acnet2_pyr_soma,mutant,wrong_compatible_component,reference,2.0,5_non_equivalent
m-wrong_compatible_component-a38cf2a7ad,acnet2_pyr_soma,mutant,wrong_compatible_component,reference,4.0,5_non_equivalent
acnet2_pyr_soma__unit_conversion__000,acnet2_pyr_soma,valid_transform,unit_conversion,unit_conversion,0.5,4_equivalent_within_tested_domain
acnet2_pyr_soma__unit_conversion__000,acnet2_pyr_soma,valid_transform,unit_conversion,unit_conversion,1.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__unit_conversion__000,acnet2_pyr_soma,valid_transform,unit_conversion,unit_conversion,2.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__unit_conversion__000,acnet2_pyr_soma,valid_transform,unit_conversion,unit_conversion,4.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__xml_formatting__000,acnet2_pyr_soma,no_change_control,xml_formatting,formatting,0.5,4_equivalent_within_tested_domain
acnet2_pyr_soma__xml_formatting__000,acnet2_pyr_soma,no_change_control,xml_formatting,formatting,1.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__xml_formatting__000,acnet2_pyr_soma,no_change_control,xml_formatting,formatting,2.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__xml_formatting__000,acnet2_pyr_soma,no_change_control,xml_formatting,formatting,4.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__add_comments__000,acnet2_pyr_soma,no_change_control,add_comments,formatting,0.5,4_equivalent_within_tested_domain
acnet2_pyr_soma__add_comments__000,acnet2_pyr_soma,no_change_control,add_comments,formatting,1.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__add_comments__000,acnet2_pyr_soma,no_change_control,add_comments,formatting,2.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__add_comments__000,acnet2_pyr_soma,no_change_control,add_comments,formatting,4.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__numeric_literal_format__000,acnet2_pyr_soma,valid_transform,numeric_literal_format,literal_format,0.5,4_equivalent_within_tested_domain
acnet2_pyr_soma__numeric_literal_format__000,acnet2_pyr_soma,valid_transform,numeric_literal_format,literal_format,1.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__numeric_literal_format__000,acnet2_pyr_soma,valid_transform,numeric_literal_format,literal_format,2.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__numeric_literal_format__000,acnet2_pyr_soma,valid_transform,numeric_literal_format,literal_format,4.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__rename_identifier__000,acnet2_pyr_soma,valid_transform,rename_identifier,renaming,0.5,4_equivalent_within_tested_domain
acnet2_pyr_soma__rename_identifier__000,acnet2_pyr_soma,valid_transform,rename_identifier,renaming,1.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__rename_identifier__000,acnet2_pyr_soma,valid_transform,rename_identifier,renaming,2.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__rename_identifier__000,acnet2_pyr_soma,valid_transform,rename_identifier,renaming,4.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__factor_file__000,acnet2_pyr_soma,valid_transform,factor_file,factoring,0.5,4_equivalent_within_tested_domain
acnet2_pyr_soma__factor_file__000,acnet2_pyr_soma,valid_transform,factor_file,factoring,1.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__factor_file__000,acnet2_pyr_soma,valid_transform,factor_file,factoring,2.0,4_equivalent_within_tested_domain
