model_id,variant_id,kind,family,analysis_family,stratum,operator,severity,params,edits,exec_overrides,tree_sha256,parent_tree_sha256
migliore2014_mt_soma,migliore2014_mt_soma__unit_conversion__000,valid_transform,unit_conversion,control,control,unit_conversion,not_applicable,"{""attribute"": ""amplitude"", ""file"": ""NeuroML2/Channels/test/OlfactoryTest_12.net.nml"", ""generator_seed"": 20260917, ""locator"": ""/neuroml/pulseGenerator[@id='Input_13']"", ""n_sites"": 88, ""new"": ""0.00006uA"", ""old"": ""6.0E-11A"", ""site_index"": 80, ""to_unit"": ""uA"", ""xsd_type"": ""Nml2Quantity_current""}","[{""file"": ""NeuroML2/Channels/test/OlfactoryTest_12.net.nml"", ""locator"": ""/neuroml/pulseGenerator[@id='Input_13']"", ""attribute"": ""amplitude"", ""old"": ""6.0E-11A"", ""new"": ""0.00006uA"", ""action"": ""set"", ""note"": ""exact decimal unit conversion (Nml2Quantity_current)""}]",{},8b222401e7aa9d4c1a718cfaf035f15c0c130ccc6fb56f9861db3112567746f3,4770cfae03902dc6a210eee41663b527ff49ca4755e5b26376fac67516e56d2a
migliore2014_mt_soma,migliore2014_mt_soma__xml_formatting__000,no_change_control,formatting,control,control,xml_formatting,not_applicable,"{""file"": ""NeuroML2/Channels/nax__sh10.channel.nml"", ""generator_seed"": 20260917, ""locator"": ""/neuroml"", ""n_sites"": 20, ""site_index"": 7, ""style"": ""attribute_order""}","[{""file"": ""NeuroML2/Channels/nax__sh10.channel.nml"", ""locator"": ""/neuroml"", ""attribute"": null, ""old"": null, ""new"": null, ""action"": ""text"", ""note"": ""xml_formatting style=attribute_order (whitespace/attribute order only)""}]",{},d6f73ceccbb6a8b0cfa7a056c6beae967520b09b3536a8b75304e8c44b82419d,4770cfae03902dc6a210eee41663b527ff49ca4755e5b26376fac67516e56d2a
migliore2014_mt_soma,migliore2014_mt_soma__add_comments__000,no_change_control,formatting,control,control,add_comments,not_applicable,"{""file"": ""NeuroML2/Channels/nax.channel.nml"", ""generator_seed"": 20260917, ""locator"": ""/neuroml"", ""n_sites"": 30, ""position"": ""before_root_end"", ""site_index"": 8}","[{""file"": ""NeuroML2/Channels/nax.channel.nml"", ""locator"": ""/neuroml"", ""attribute"": null, ""old"": null, ""new"": ""1 comment(s)"", ""action"": ""insert"", ""note"": ""add_comments position=before_root_end""}]",{},49402c4ddd0d59e3068f20ea9ebbfcfdaeb403481df934fcd035b5a10b7d52e6,4770cfae03902dc6a210eee41663b527ff49ca4755e5b26376fac67516e56d2a
migliore2014_mt_soma,migliore2014_mt_soma__numeric_literal_format__000,valid_transform,literal_format,control,control,numeric_literal_format,not_applicable,"{""attribute"": ""value"", ""file"": ""NeuroML2/Channels/kamt.channel.nml"", ""generator_seed"": 20260917, ""locator"": ""/neuroml/ComponentType[@name='kamt_h_tau_tau']/Constant[@name='VOLT_SCALE']"", ""n_sites"": 437, ""new"": ""1mV"", ""old"": ""1 mV"", ""site_index"": 61, ""style"": ""unit_spacing"", ""xsd_type"": ""Nml2Quantity""}","[{""file"": ""NeuroML2/Channels/kamt.channel.nml"", ""locator"": ""/neuroml/ComponentType[@name='kamt_h_tau_tau']/Constant[@name='VOLT_SCALE']"", ""attribute"": ""value"", ""old"": ""1 mV"", ""new"": ""1mV"", ""action"": ""set"", ""note"": ""numerically identical literal (unit_spacing)""}]",{},df6798eff50adbe4dcf52fba2a5a1d2032382b66d65834a182f72d7d9625bef5,4770cfae03902dc6a210eee41663b527ff49ca4755e5b26376fac67516e56d2a
migliore2014_mt_soma,migliore2014_mt_soma__rename_identifier__000,valid_transform,renaming,control,control,rename_identifier,not_applicable,"{""file"": ""NeuroML2/Channels/test/MT_soma.cell.nml"", ""generator_seed"": 20260917, ""kind"": ""channelDensity"", ""locator"": ""/neuroml/cell[@id='MT_soma']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='pas_ModelViewParmSubset_1']"", ""n_sites"": 38, ""new"": ""pas_ModelViewParmSubset_1_renamed"", ""old"": ""pas_ModelViewParmSubset_1"", ""site_index"": 32}","[{""file"": ""NeuroML2/Channels/test/MT_soma.cell.nml"", ""locator"": ""/neuroml/cell[@id='MT_soma']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='pas_ModelViewParmSubset_1']"", ""attribute"": ""id"", ""old"": ""pas_ModelViewParmSubset_1"", ""new"": ""pas_ModelViewParmSubset_1_renamed"", ""action"": ""set"", ""note"": ""rename channelDensity pas_ModelViewParmSubset_1 -> pas_ModelViewParmSubset_1_renamed (locators refer to the pre-edit file)""}]",{},bd56a97ddec6e0d3965211049221346214d4e546a89c2ebf73181a9fcabe1ed5,4770cfae03902dc6a210eee41663b527ff49ca4755e5b26376fac67516e56d2a
migliore2014_mt_soma,migliore2014_mt_soma__factor_file__000,valid_transform,factoring,control,control,factor_file,not_applicable,"{""element"": ""ComponentType"", ""file"": ""NeuroML2/Channels/nax__sh15.channel.nml"", ""generator_seed"": 20260917, ""ident"": ""nax__sh15_h_tau_tau"", ""locator"": ""/neuroml/ComponentType[@name='nax__sh15_h_tau_tau']"", ""n_sites"": 32, ""new_file"": ""NeuroML2/Channels/nax__sh15_h_tau_tau.factored.nml"", ""site_index"": 25}","[{""file"": ""NeuroML2/Channels/nax__sh15.channel.nml"", ""locator"": ""/neuroml/ComponentType[@name='nax__sh15_h_tau_tau']"", ""attribute"": null, ""old"": ""<ComponentType name=\""nax__sh15_h_tau_tau\"" extends=\""baseVoltageDepTime\"">\n        <Constant name=\""TIME_SCALE\"" dimension=\""time\"" value=\""1 ms\""/>\n        <Constant name=\""VOLT_SCALE\"" dimension=\""voltage\"" value=\""1 mV\""/>\n        <!--Note: this parameter (sh) should ideally be defined only once within the ionChannel! Work in progress...--><Constant name=\""sh\"" dimension=\""none\"" value=\""15.0\""/>\n        <Requirement name=\""alpha\"" dimension=\""per_time\""/>\n        <Requirement name=\""beta\"" dimension=\""per_time\""/>\n        <Requirement name=\""rateScale\"" dimension=\""none\""/>\n\n        <Dynamics>\n            <DerivedVariable name=\""V\"" dimension=\""none\"" value=\""v / VOLT_SCALE\""/>\n            <DerivedVariable name=\""ALPHA\"" dimension=\""none\"" value=\""alpha * TIME_SCALE\""/>\n            <DerivedVariable name=\""BETA\"" dimension=\""none\"" value=\""beta * TIME_SCALE\""/>\n            <ConditionalDerivedVariable name=\""t\"" exposure=\""t\"" dimension=\""time\"">\n                <Case condition=\""(ALPHA + BETA) .eq. 0\"" value=\""( 0 ) * TIME_SCALE\""/>\n                <Case condition=\""1/( (ALPHA + BETA) * rateScale )  .lt. ( 0.5 )\"" value=\""( (0.5 * rateScale) ) * TIME_SCALE\""/>\n                <Case value=\""( 1/(ALPHA + BETA) ) * TIME_SCALE\""/>\n            </ConditionalDerivedVariable>\n        </Dynamics>\n\n    </ComponentType>"", ""new"": null, ""action"": ""remove"", ""note"": ""moved to NeuroML2/Channels/nax__sh15_h_tau_tau.factored.nml""}, {""file"": ""NeuroML2/Channels/nax__sh15.channel.nml"", ""locator"": ""/neuroml/include[@href='nax__sh15_h_tau_tau.factored.nml']"", ""attribute"": ""href"", ""old"": null, ""new"": ""nax__sh15_h_tau_tau.factored.nml"", ""action"": ""insert"", ""note"": ""include of the factored file""}, {""file"": ""NeuroML2/Channels/nax__sh15_h_tau_tau.factored.nml"", ""locator"": ""/neuroml"", ""attribute"": null, ""old"": null, ""new"": ""<?xml version=\""1.0\"" encoding=\""ISO-8859-1\""?>\n<neuroml xmlns=\""http://www.neuroml.org/schema/neuroml2\"" xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" xsi:schemaLocation=\""http://www.neuroml.org/schema/neuroml2 https://raw.github.com/NeuroML/NeuroML2/development/Schemas/NeuroML2/NeuroML_v2beta4.xsd\"" id=\""nax__sh15_h_tau_tau_factored\"">\n\n\n    <ComponentType name=\""nax__sh15_h_tau_tau\"" extends=\""baseVoltageDepTime\"">\n        <Constant name=\""TIME_SCALE\"" dimension=\""time\"" value=\""1 ms\""/>\n        <Constant name=\""VOLT_SCALE\"" dimension=\""voltage\"" value=\""1 mV\""/>\n        <!--Note: this parameter (sh) should ideally be defined only once within the ionChannel! Work in progress...--><Constant name=\""sh\"" dimension=\""none\"" value=\""15.0\""/>\n        <Requirement name=\""alpha\"" dimension=\""per_time\""/>\n        <Requirement name=\""beta\"" dimension=\""per_time\""/>\n        <Requirement name=\""rateScale\"" dimension=\""none\""/>\n\n        <Dynamics>\n            <DerivedVariable name=\""V\"" dimension=\""none\"" value=\""v / VOLT_SCALE\""/>\n            <DerivedVariable name=\""ALPHA\"" dimension=\""none\"" value=\""alpha * TIME_SCALE\""/>\n            <DerivedVariable name=\""BETA\"" dimension=\""none\"" value=\""beta * TIME_SCALE\""/>\n            <ConditionalDerivedVariable name=\""t\"" exposure=\""t\"" dimension=\""time\"">\n                <Case condition=\""(ALPHA + BETA) .eq. 0\"" value=\""( 0 ) * TIME_SCALE\""/>\n                <Case condition=\""1/( (ALPHA + BETA) * rateScale )  .lt. ( 0.5 )\"" value=\""( (0.5 * rateScale) ) * TIME_SCALE\""/>\n                <Case value=\""( 1/(ALPHA + BETA) ) * TIME_SCALE\""/>\n            </ConditionalDerivedVariable>\n        </Dynamics>\n\n    </ComponentType>\n\n</neuroml>\n"", ""action"": ""insert"", ""note"": ""new file holding <ComponentType> 'nax__sh15_h_tau_tau' plus copies of NeuroML2/Channels/nax__sh15.channel.nml's includes""}]",{},de0d09b416a0a84604cddbae3e9797b2f10ad8de98babc18abca90a4a12e39d7,4770cfae03902dc6a210eee41663b527ff49ca4755e5b26376fac67516e56d2a
migliore2014_mt_soma,migliore2014_mt_soma__reorder_independent__000,valid_transform,reordering,control,control,reorder_independent,not_applicable,"{""count"": 2, ""file"": ""NeuroML2/Channels/kamt.channel.nml"", ""first"": 1, ""generator_seed"": 20260917, ""locator"": ""/neuroml"", ""n_sites"": 25, ""permutation"": ""reverse"", ""site_index"": 0, ""tag"": ""ComponentType""}","[{""file"": ""NeuroML2/Channels/kamt.channel.nml"", ""locator"": ""/neuroml"", ""attribute"": null, ""old"": ""kamt_m_tau_tau,kamt_h_tau_tau"", ""new"": ""kamt_h_tau_tau,kamt_m_tau_tau"", ""action"": ""text"", ""note"": ""reorder 2 consecutive <ComponentType> siblings (reverse)""}]",{},637eb4e0b0ff9e582ca6993b812e4bb2242bc100cfac7776b79f7c978fd37426,4770cfae03902dc6a210eee41663b527ff49ca4755e5b26376fac67516e56d2a
migliore2014_mt_soma,migliore2014_mt_soma__explicit_default__000,valid_transform,explicit_default,control,control,explicit_default,not_applicable,"{""attribute"": ""segmentGroup"", ""file"": ""NeuroML2/Channels/test/MT_soma.cell.nml"", ""generator_seed"": 20260917, ""locator"": ""/neuroml/cell[@id='MT_soma']/biophysicalProperties[@id='biophys']/membraneProperties[1]/spikeThresh[1]"", ""n_sites"": 8, ""site_index"": 4, ""value"": ""all"", ""xsd_type"": ""SpikeThresh""}","[{""file"": ""NeuroML2/Channels/test/MT_soma.cell.nml"", ""locator"": ""/neuroml/cell[@id='MT_soma']/biophysicalProperties[@id='biophys']/membraneProperties[1]/spikeThresh[1]"", ""attribute"": ""segmentGroup"", ""old"": null, ""new"": ""all"", ""action"": ""insert"", ""note"": ""explicit XSD default of SpikeThresh""}]",{},798797e59ce7d7224d5e38acd4cb9446c8731bf452fce5d5bec81d9309fd8b89,4770cfae03902dc6a210eee41663b527ff49ca4755e5b26376fac67516e56d2a
nml2_hh_example,m-scale_conductance-ae18f4c43e,mutant,biophysical,maximal_conductance,primary_semantic,scale_conductance,mild,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='NML2_SingleCompHHCell']/cell[@id='hhcell']/biophysicalProperties[@id='bioPhys1']/membraneProperties[1]/channelDensity[@id='naChans']"", ""new"": ""150.0 mS_per_cm2"", ""old"": ""120.0 mS_per_cm2""}], ""element"": ""channelDensity"", ""element_id"": ""naChans"", ""factor"": 1.25, ""generator_seed"": 20260917}","[{""file"": ""examples/NML2_SingleCompHHCell.nml"", ""locator"": ""/neuroml[@id='NML2_SingleCompHHCell']/cell[@id='hhcell']/biophysicalProperties[@id='bioPhys1']/membraneProperties[1]/channelDensity[@id='naChans']"", ""attribute"": ""condDensity"", ""old"": ""120.0 mS_per_cm2"", ""new"": ""150.0 mS_per_cm2"", ""action"": ""set"", ""note"": ""scale_conductance""}]",{},5749eff8f2883c75f2ee2e6704c22696db50659f021bf661439124e70c654891,102aa53b5b3a779523cff43c15024eeb026ccaa4d5ff66fc43b9b624edfb7f5d
nml2_hh_example,m-scale_conductance-f937b97f50,mutant,biophysical,maximal_conductance,primary_semantic,scale_conductance,mild,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='NML2_SingleCompHHCell']/cell[@id='hhcell']/biophysicalProperties[@id='bioPhys1']/membraneProperties[1]/channelDensity[@id='kChans']"", ""new"": ""324 S_per_m2"", ""old"": ""360 S_per_m2""}], ""element"": ""channelDensity"", ""element_id"": ""kChans"", ""factor"": 0.9, ""generator_seed"": 20260917}","[{""file"": ""examples/NML2_SingleCompHHCell.nml"", ""locator"": ""/neuroml[@id='NML2_SingleCompHHCell']/cell[@id='hhcell']/biophysicalProperties[@id='bioPhys1']/membraneProperties[1]/channelDensity[@id='kChans']"", ""attribute"": ""condDensity"", ""old"": ""360 S_per_m2"", ""new"": ""324 S_per_m2"", ""action"": ""set"", ""note"": ""scale_conductance""}]",{},0afe6fd0b7f2b79cbdab74af1101ea0808c7f1f5a56be8011b45f96781726f43,102aa53b5b3a779523cff43c15024eeb026ccaa4d5ff66fc43b9b624edfb7f5d
