strategy,n_protocols,cost,detection_rate,median,lower,upper,n_draws
selected,1.0,500000.0,0.8571428571428571,,,,
canonical,1.0,1000000.0,0.8928571428571429,,,,
exhaustive,11.0,11660000.0,1.0,,,,
random_count_matched,1.0,,0.2995142857142857,0.14285714285714285,0.07142857142857142,0.8571428571428571,5000.0
random_count_matched,2.0,,0.47952142857142854,0.39285714285714285,0.10714285714285714,0.8571428571428571,5000.0
random_count_matched,3.0,,0.6021428571428571,0.75,0.14285714285714285,0.8571428571428571,5000.0
random_count_matched,4.0,,0.6846714285714285,0.7857142857142857,0.2857142857142857,0.8571428571428571,5000.0
random_count_matched,5.0,,0.7474428571428571,0.8214285714285714,0.32142857142857145,0.8571428571428571,5000.0
random_count_matched,6.0,,0.7905142857142856,0.8571428571428571,0.4642857142857143,0.8571428571428571,5000.0
random_count_matched,7.0,,0.8206714285714285,0.8571428571428571,0.5,0.8571428571428571,5000.0
random_count_matched,8.0,,0.8431285714285712,0.8571428571428571,0.7857142857142857,0.8571428571428571,5000.0
random_count_matched,9.0,,0.8536071428571428,0.8571428571428571,0.8214285714285714,0.8571428571428571,5000.0
random_count_matched,10.0,,0.8571428571428569,0.8571428571428571,0.8571428571428571,0.8571428571428571,5000.0
random_runtime_matched,,500000.0,0.4873714285714285,0.39285714285714285,0.10714285714285714,0.8571428571428571,5000.0
