variant_id,model_id,kind,operator,family,tolerance_multiplier,class
m-wrong_segment_group-01dc7ba1d7,pospischil2008_rs,mutant,wrong_segment_group,biophysical,1.0,4_equivalent_within_tested_domain
m-wrong_segment_group-01dc7ba1d7,pospischil2008_rs,mutant,wrong_segment_group,biophysical,2.0,4_equivalent_within_tested_domain
m-wrong_segment_group-01dc7ba1d7,pospischil2008_rs,mutant,wrong_segment_group,biophysical,4.0,4_equivalent_within_tested_domain
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,mutant,increase_dt,numerical,0.5,6_silent_under_canonical
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,mutant,increase_dt,numerical,1.0,6_silent_under_canonical
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,mutant,increase_dt,numerical,2.0,4_equivalent_within_tested_domain
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,mutant,increase_dt,numerical,4.0,4_equivalent_within_tested_domain
m-increase_dt-f3e1491a0a,pospischil2008_rs,mutant,increase_dt,numerical,0.5,5_non_equivalent
m-increase_dt-f3e1491a0a,pospischil2008_rs,mutant,increase_dt,numerical,1.0,5_non_equivalent
m-increase_dt-f3e1491a0a,pospischil2008_rs,mutant,increase_dt,numerical,2.0,6_silent_under_canonical
m-increase_dt-f3e1491a0a,pospischil2008_rs,mutant,increase_dt,numerical,4.0,6_silent_under_canonical
m-solver_config-5b315b1b38,pospischil2008_rs,mutant,solver_config,numerical,0.5,4_equivalent_within_tested_domain
m-solver_config-5b315b1b38,pospischil2008_rs,mutant,solver_config,numerical,1.0,4_equivalent_within_tested_domain
m-solver_config-5b315b1b38,pospischil2008_rs,mutant,solver_config,numerical,2.0,4_equivalent_within_tested_domain
m-solver_config-5b315b1b38,pospischil2008_rs,mutant,solver_config,numerical,4.0,4_equivalent_within_tested_domain
m-solver_config-61de603422,pospischil2008_rs,mutant,solver_config,numerical,0.5,4_equivalent_within_tested_domain
m-solver_config-61de603422,pospischil2008_rs,mutant,solver_config,numerical,1.0,4_equivalent_within_tested_domain
m-solver_config-61de603422,pospischil2008_rs,mutant,solver_config,numerical,2.0,4_equivalent_within_tested_domain
m-solver_config-61de603422,pospischil2008_rs,mutant,solver_config,numerical,4.0,4_equivalent_within_tested_domain
m-recording_resolution-809fde10a5,pospischil2008_rs,mutant,recording_resolution,numerical,0.5,4_equivalent_within_tested_domain
m-recording_resolution-809fde10a5,pospischil2008_rs,mutant,recording_resolution,numerical,1.0,4_equivalent_within_tested_domain
m-recording_resolution-809fde10a5,pospischil2008_rs,mutant,recording_resolution,numerical,2.0,4_equivalent_within_tested_domain
m-recording_resolution-809fde10a5,pospischil2008_rs,mutant,recording_resolution,numerical,4.0,4_equivalent_within_tested_domain
m-recording_resolution-7d6e4357af,pospischil2008_rs,mutant,recording_resolution,numerical,0.5,6_silent_under_canonical
m-recording_resolution-7d6e4357af,pospischil2008_rs,mutant,recording_resolution,numerical,1.0,6_silent_under_canonical
m-recording_resolution-7d6e4357af,pospischil2008_rs,mutant,recording_resolution,numerical,2.0,6_silent_under_canonical
m-recording_resolution-7d6e4357af,pospischil2008_rs,mutant,recording_resolution,numerical,4.0,4_equivalent_within_tested_domain
m-wrong_channel-9d7d66750b,pospischil2008_rs,mutant,wrong_channel,reference,0.5,3_numerically_unstable
m-wrong_channel-9d7d66750b,pospischil2008_rs,mutant,wrong_channel,reference,1.0,3_numerically_unstable
m-wrong_channel-9d7d66750b,pospischil2008_rs,mutant,wrong_channel,reference,2.0,3_numerically_unstable
m-wrong_channel-9d7d66750b,pospischil2008_rs,mutant,wrong_channel,reference,4.0,3_numerically_unstable
m-wrong_channel-ae41ace4e7,pospischil2008_rs,mutant,wrong_channel,reference,0.5,2_non_executable
m-wrong_channel-ae41ace4e7,pospischil2008_rs,mutant,wrong_channel,reference,1.0,2_non_executable
m-wrong_channel-ae41ace4e7,pospischil2008_rs,mutant,wrong_channel,reference,2.0,2_non_executable
m-wrong_channel-ae41ace4e7,pospischil2008_rs,mutant,wrong_channel,reference,4.0,2_non_executable
m-omit_include-1e5a6df120,pospischil2008_rs,mutant,omit_include,reference,0.5,1_structurally_invalid
m-omit_include-1e5a6df120,pospischil2008_rs,mutant,omit_include,reference,1.0,1_structurally_invalid
m-omit_include-1e5a6df120,pospischil2008_rs,mutant,omit_include,reference,2.0,1_structurally_invalid
m-omit_include-1e5a6df120,pospischil2008_rs,mutant,omit_include,reference,4.0,1_structurally_invalid
m-omit_include-323831e37a,pospischil2008_rs,mutant,omit_include,reference,0.5,2_non_executable
m-omit_include-323831e37a,pospischil2008_rs,mutant,omit_include,reference,1.0,2_non_executable
m-omit_include-323831e37a,pospischil2008_rs,mutant,omit_include,reference,2.0,2_non_executable
m-omit_include-323831e37a,pospischil2008_rs,mutant,omit_include,reference,4.0,2_non_executable
m-duplicate_conductance-c92521ba5f,pospischil2008_rs,mutant,duplicate_conductance,reference,0.5,5_non_equivalent
m-duplicate_conductance-c92521ba5f,pospischil2008_rs,mutant,duplicate_conductance,reference,1.0,5_non_equivalent
m-duplicate_conductance-c92521ba5f,pospischil2008_rs,mutant,duplicate_conductance,reference,2.0,5_non_equivalent
m-duplicate_conductance-c92521ba5f,pospischil2008_rs,mutant,duplicate_conductance,reference,4.0,5_non_equivalent
m-duplicate_conductance-4e2ab48a04,pospischil2008_rs,mutant,duplicate_conductance,reference,0.5,5_non_equivalent
m-duplicate_conductance-4e2ab48a04,pospischil2008_rs,mutant,duplicate_conductance,reference,1.0,5_non_equivalent
m-duplicate_conductance-4e2ab48a04,pospischil2008_rs,mutant,duplicate_conductance,reference,2.0,5_non_equivalent
m-duplicate_conductance-4e2ab48a04,pospischil2008_rs,mutant,duplicate_conductance,reference,4.0,5_non_equivalent
m-wrong_compatible_component-6f57d23e68,pospischil2008_rs,mutant,wrong_compatible_component,reference,0.5,2_non_executable
m-wrong_compatible_component-6f57d23e68,pospischil2008_rs,mutant,wrong_compatible_component,reference,1.0,2_non_executable
m-wrong_compatible_component-6f57d23e68,pospischil2008_rs,mutant,wrong_compatible_component,reference,2.0,2_non_executable
m-wrong_compatible_component-6f57d23e68,pospischil2008_rs,mutant,wrong_compatible_component,reference,4.0,2_non_executable
m-wrong_compatible_component-b3f30eac45,pospischil2008_rs,mutant,wrong_compatible_component,reference,0.5,2_non_executable
m-wrong_compatible_component-b3f30eac45,pospischil2008_rs,mutant,wrong_compatible_component,reference,1.0,2_non_executable
m-wrong_compatible_component-b3f30eac45,pospischil2008_rs,mutant,wrong_compatible_component,reference,2.0,2_non_executable
m-wrong_compatible_component-b3f30eac45,pospischil2008_rs,mutant,wrong_compatible_component,reference,4.0,2_non_executable
pospischil2008_rs__unit_conversion__000,pospischil2008_rs,valid_transform,unit_conversion,unit_conversion,0.5,4_equivalent_within_tested_domain
pospischil2008_rs__unit_conversion__000,pospischil2008_rs,valid_transform,unit_conversion,unit_conversion,1.0,4_equivalent_within_tested_domain
pospischil2008_rs__unit_conversion__000,pospischil2008_rs,valid_transform,unit_conversion,unit_conversion,2.0,4_equivalent_within_tested_domain
pospischil2008_rs__unit_conversion__000,pospischil2008_rs,valid_transform,unit_conversion,unit_conversion,4.0,4_equivalent_within_tested_domain
pospischil2008_rs__xml_formatting__000,pospischil2008_rs,no_change_control,xml_formatting,formatting,0.5,4_equivalent_within_tested_domain
pospischil2008_rs__xml_formatting__000,pospischil2008_rs,no_change_control,xml_formatting,formatting,1.0,4_equivalent_within_tested_domain
pospischil2008_rs__xml_formatting__000,pospischil2008_rs,no_change_control,xml_formatting,formatting,2.0,4_equivalent_within_tested_domain
pospischil2008_rs__xml_formatting__000,pospischil2008_rs,no_change_control,xml_formatting,formatting,4.0,4_equivalent_within_tested_domain
pospischil2008_rs__add_comments__000,pospischil2008_rs,no_change_control,add_comments,formatting,0.5,4_equivalent_within_tested_domain
pospischil2008_rs__add_comments__000,pospischil2008_rs,no_change_control,add_comments,formatting,1.0,4_equivalent_within_tested_domain
pospischil2008_rs__add_comments__000,pospischil2008_rs,no_change_control,add_comments,formatting,2.0,4_equivalent_within_tested_domain
pospischil2008_rs__add_comments__000,pospischil2008_rs,no_change_control,add_comments,formatting,4.0,4_equivalent_within_tested_domain
pospischil2008_rs__numeric_literal_format__000,pospischil2008_rs,valid_transform,numeric_literal_format,literal_format,0.5,4_equivalent_within_tested_domain
