mutant_id,model_id,family,protocol_id,detected
m-scale_capacitance-a0c243c06e,pospischil2008_rs,biophysical,P03_rheobase,True
m-scale_gate_time_constant-d9645f95f6,pospischil2008_rs,biophysical,P00_canonical,True
m-scale_gate_time_constant-d9645f95f6,pospischil2008_rs,biophysical,P01_baseline,False
m-scale_gate_time_constant-d9645f95f6,pospischil2008_rs,biophysical,P02_weak_step,False
m-scale_gate_time_constant-d9645f95f6,pospischil2008_rs,biophysical,P04_step_2x,True
m-scale_gate_time_constant-d9645f95f6,pospischil2008_rs,biophysical,P05_long_step,True
m-scale_gate_time_constant-d9645f95f6,pospischil2008_rs,biophysical,P06_ramp,True
m-scale_gate_time_constant-d9645f95f6,pospischil2008_rs,biophysical,P07_hyperpolarizing_step,False
m-scale_gate_time_constant-d9645f95f6,pospischil2008_rs,biophysical,P08_rebound,False
m-scale_gate_time_constant-d9645f95f6,pospischil2008_rs,biophysical,P09_short_pulse,True
m-scale_gate_time_constant-d9645f95f6,pospischil2008_rs,biophysical,P10_paired_pulses,True
m-scale_gate_time_constant-d9645f95f6,pospischil2008_rs,biophysical,P03_rheobase,False
m-scale_gate_time_constant-244443ee5f,pospischil2008_rs,biophysical,P00_canonical,True
m-scale_gate_time_constant-244443ee5f,pospischil2008_rs,biophysical,P01_baseline,False
m-scale_gate_time_constant-244443ee5f,pospischil2008_rs,biophysical,P02_weak_step,False
m-scale_gate_time_constant-244443ee5f,pospischil2008_rs,biophysical,P04_step_2x,True
m-scale_gate_time_constant-244443ee5f,pospischil2008_rs,biophysical,P05_long_step,True
m-scale_gate_time_constant-244443ee5f,pospischil2008_rs,biophysical,P06_ramp,True
m-scale_gate_time_constant-244443ee5f,pospischil2008_rs,biophysical,P07_hyperpolarizing_step,False
m-scale_gate_time_constant-244443ee5f,pospischil2008_rs,biophysical,P08_rebound,False
m-scale_gate_time_constant-244443ee5f,pospischil2008_rs,biophysical,P09_short_pulse,True
m-scale_gate_time_constant-244443ee5f,pospischil2008_rs,biophysical,P10_paired_pulses,False
m-scale_gate_time_constant-244443ee5f,pospischil2008_rs,biophysical,P03_rheobase,False
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,numerical,P00_canonical,False
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,numerical,P01_baseline,False
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,numerical,P02_weak_step,False
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,numerical,P04_step_2x,True
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,numerical,P05_long_step,True
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,numerical,P06_ramp,False
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,numerical,P07_hyperpolarizing_step,False
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,numerical,P08_rebound,False
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,numerical,P09_short_pulse,False
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,numerical,P10_paired_pulses,False
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,numerical,P03_rheobase,False
m-increase_dt-f3e1491a0a,pospischil2008_rs,numerical,P00_canonical,True
m-increase_dt-f3e1491a0a,pospischil2008_rs,numerical,P01_baseline,False
m-increase_dt-f3e1491a0a,pospischil2008_rs,numerical,P02_weak_step,False
m-increase_dt-f3e1491a0a,pospischil2008_rs,numerical,P04_step_2x,True
m-increase_dt-f3e1491a0a,pospischil2008_rs,numerical,P05_long_step,True
m-increase_dt-f3e1491a0a,pospischil2008_rs,numerical,P06_ramp,True
m-increase_dt-f3e1491a0a,pospischil2008_rs,numerical,P07_hyperpolarizing_step,False
m-increase_dt-f3e1491a0a,pospischil2008_rs,numerical,P08_rebound,False
m-increase_dt-f3e1491a0a,pospischil2008_rs,numerical,P09_short_pulse,True
m-increase_dt-f3e1491a0a,pospischil2008_rs,numerical,P10_paired_pulses,False
m-increase_dt-f3e1491a0a,pospischil2008_rs,numerical,P03_rheobase,False
m-recording_resolution-7d6e4357af,pospischil2008_rs,numerical,P00_canonical,False
m-recording_resolution-7d6e4357af,pospischil2008_rs,numerical,P01_baseline,False
m-recording_resolution-7d6e4357af,pospischil2008_rs,numerical,P02_weak_step,False
m-recording_resolution-7d6e4357af,pospischil2008_rs,numerical,P04_step_2x,False
m-recording_resolution-7d6e4357af,pospischil2008_rs,numerical,P05_long_step,True
m-recording_resolution-7d6e4357af,pospischil2008_rs,numerical,P06_ramp,False
m-recording_resolution-7d6e4357af,pospischil2008_rs,numerical,P07_hyperpolarizing_step,False
m-recording_resolution-7d6e4357af,pospischil2008_rs,numerical,P08_rebound,False
