variant_id,model_id,family,operator,params_json,edits_json,exec_overrides_json,description,generator_seed
m-scale_conductance-44150b501c,acnet2_pyr_soma,biophysical,scale_conductance,"{""changes"":[{""attribute"":""condDensity"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_pyr_all']"",""new"":""0.11360408 mS_per_cm2"",""old"":""0.1420051 mS_per_cm2""}],""element"":""channelDensity"",""element_id"":""LeakConductance_pyr_all"",""factor"":0.8}","[{""action"":""set"",""attribute"":""condDensity"",""file"":""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_pyr_all']"",""new"":""0.11360408 mS_per_cm2"",""note"":""scale_conductance"",""old"":""0.1420051 mS_per_cm2""}]",{},"scale_conductance at LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml:/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_pyr_all'] {""element"": ""channelDensity"", ""element_id"": ""LeakConductance_pyr_all"", ""factor"": 0.8} condDensity: '0.1420051 mS_per_cm2' -> '0.11360408 mS_per_cm2'",20260917
m-scale_conductance-15a5694767,acnet2_pyr_soma,biophysical,scale_conductance,"{""changes"":[{""attribute"":""condDensity"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Na_pyr_soma_group']"",""new"":""96.0 mS_per_cm2"",""old"":""120.0 mS_per_cm2""}],""element"":""channelDensity"",""element_id"":""Na_pyr_soma_group"",""factor"":0.8}","[{""action"":""set"",""attribute"":""condDensity"",""file"":""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Na_pyr_soma_group']"",""new"":""96.0 mS_per_cm2"",""note"":""scale_conductance"",""old"":""120.0 mS_per_cm2""}]",{},"scale_conductance at LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml:/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Na_pyr_soma_group'] {""element"": ""channelDensity"", ""element_id"": ""Na_pyr_soma_group"", ""factor"": 0.8} condDensity: '120.0 mS_per_cm2' -> '96.0 mS_per_cm2'",20260917
m-scale_conductance-2ed5496dc2,acnet2_pyr_soma,biophysical,scale_conductance,"{""changes"":[{""attribute"":""condDensity"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Ca_pyr_soma_group']"",""new"":""5.0 mS_per_cm2"",""old"":""10.0 mS_per_cm2""}],""element"":""channelDensity"",""element_id"":""Ca_pyr_soma_group"",""factor"":0.5}","[{""action"":""set"",""attribute"":""condDensity"",""file"":""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Ca_pyr_soma_group']"",""new"":""5.0 mS_per_cm2"",""note"":""scale_conductance"",""old"":""10.0 mS_per_cm2""}]",{},"scale_conductance at LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml:/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Ca_pyr_soma_group'] {""element"": ""channelDensity"", ""element_id"": ""Ca_pyr_soma_group"", ""factor"": 0.5} condDensity: '10.0 mS_per_cm2' -> '5.0 mS_per_cm2'",20260917
m-scale_conductance-2dc7e425d7,acnet2_pyr_soma,biophysical,scale_conductance,"{""changes"":[{""attribute"":""condDensity"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Ca_pyr_soma_group']"",""new"":""20.0 mS_per_cm2"",""old"":""10.0 mS_per_cm2""}],""element"":""channelDensity"",""element_id"":""Ca_pyr_soma_group"",""factor"":2.0}","[{""action"":""set"",""attribute"":""condDensity"",""file"":""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Ca_pyr_soma_group']"",""new"":""20.0 mS_per_cm2"",""note"":""scale_conductance"",""old"":""10.0 mS_per_cm2""}]",{},"scale_conductance at LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml:/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Ca_pyr_soma_group'] {""element"": ""channelDensity"", ""element_id"": ""Ca_pyr_soma_group"", ""factor"": 2.0} condDensity: '10.0 mS_per_cm2' -> '20.0 mS_per_cm2'",20260917
m-shift_reversal-3400b10721,acnet2_pyr_soma,biophysical,shift_reversal,"{""changes"":[{""attribute"":""erev"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kahp_pyr_soma_group']"",""new"":""-70.0 mV"",""old"":""-75.0 mV""}],""element"":""channelDensity"",""element_id"":""Kahp_pyr_soma_group"",""shift_mV"":5.0}","[{""action"":""set"",""attribute"":""erev"",""file"":""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kahp_pyr_soma_group']"",""new"":""-70.0 mV"",""note"":""shift_reversal"",""old"":""-75.0 mV""}]",{},"shift_reversal at LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml:/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kahp_pyr_soma_group'] {""element"": ""channelDensity"", ""element_id"": ""Kahp_pyr_soma_group"", ""shift_mV"": 5.0} erev: '-75.0 mV' -> '-70.0 mV'",20260917
m-shift_reversal-2c628fb0f6,acnet2_pyr_soma,biophysical,shift_reversal,"{""changes"":[{""attribute"":""erev"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_pyr_all']"",""new"":""-61.0 mV"",""old"":""-66.0 mV""}],""element"":""channelDensity"",""element_id"":""LeakConductance_pyr_all"",""shift_mV"":5.0}","[{""action"":""set"",""attribute"":""erev"",""file"":""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_pyr_all']"",""new"":""-61.0 mV"",""note"":""shift_reversal"",""old"":""-66.0 mV""}]",{},"shift_reversal at LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml:/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_pyr_all'] {""element"": ""channelDensity"", ""element_id"": ""LeakConductance_pyr_all"", ""shift_mV"": 5.0} erev: '-66.0 mV' -> '-61.0 mV'",20260917
m-shift_reversal-9553007c36,acnet2_pyr_soma,biophysical,shift_reversal,"{""changes"":[{""attribute"":""erev"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Ca_pyr_soma_group']"",""new"":""90.0 mV"",""old"":""80.0 mV""}],""element"":""channelDensity"",""element_id"":""Ca_pyr_soma_group"",""shift_mV"":10.0}","[{""action"":""set"",""attribute"":""erev"",""file"":""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Ca_pyr_soma_group']"",""new"":""90.0 mV"",""note"":""shift_reversal"",""old"":""80.0 mV""}]",{},"shift_reversal at LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml:/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Ca_pyr_soma_group'] {""element"": ""channelDensity"", ""element_id"": ""Ca_pyr_soma_group"", ""shift_mV"": 10.0} erev: '80.0 mV' -> '90.0 mV'",20260917
m-shift_reversal-513c92c08b,acnet2_pyr_soma,biophysical,shift_reversal,"{""changes"":[{""attribute"":""erev"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_pyr_all']"",""new"":""-56.0 mV"",""old"":""-66.0 mV""}],""element"":""channelDensity"",""element_id"":""LeakConductance_pyr_all"",""shift_mV"":10.0}","[{""action"":""set"",""attribute"":""erev"",""file"":""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_pyr_all']"",""new"":""-56.0 mV"",""note"":""shift_reversal"",""old"":""-66.0 mV""}]",{},"shift_reversal at LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml:/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_pyr_all'] {""element"": ""channelDensity"", ""element_id"": ""LeakConductance_pyr_all"", ""shift_mV"": 10.0} erev: '-66.0 mV' -> '-56.0 mV'",20260917
m-scale_capacitance-d750ebfac4,acnet2_pyr_soma,biophysical,scale_capacitance,"{""changes"":[{""attribute"":""value"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"",""new"":""2.272 uF_per_cm2"",""old"":""2.84 uF_per_cm2""}],""element"":""specificCapacitance"",""element_id"":null,""factor"":0.8}","[{""action"":""set"",""attribute"":""value"",""file"":""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"",""new"":""2.272 uF_per_cm2"",""note"":""scale_capacitance"",""old"":""2.84 uF_per_cm2""}]",{},"scale_capacitance at LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml:/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1] {""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 0.8} value: '2.84 uF_per_cm2' -> '2.272 uF_per_cm2'",20260917
m-scale_capacitance-e86da299c1,acnet2_pyr_soma,biophysical,scale_capacitance,"{""changes"":[{""attribute"":""value"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"",""new"":""1.42 uF_per_cm2"",""old"":""2.84 uF_per_cm2""}],""element"":""specificCapacitance"",""element_id"":null,""factor"":0.5}","[{""action"":""set"",""attribute"":""value"",""file"":""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"",""locator"":""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"",""new"":""1.42 uF_per_cm2"",""note"":""scale_capacitance"",""old"":""2.84 uF_per_cm2""}]",{},"scale_capacitance at LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml:/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1] {""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 0.5} value: '2.84 uF_per_cm2' -> '1.42 uF_per_cm2'",20260917
