mutant_id,model_id,family,P00_canonical,P02_weak_step,P04_step_2x,P05_long_step,P06_ramp,P07_hyperpolarizing_step,P08_rebound,P09_short_pulse,P03_rheobase
__cost__,,,272000.0,200000.0,200000.0,500000.0,300000.0,200000.0,220000.0,100000.0,7680000.0
m-increase_dt-c64b4ee7fc,nml2_hh_example,numerical,1,0,0,0,0,0,0,1,0
m-increase_dt-2391bb7a93,pospischil2008_fs,numerical,0,0,1,1,1,0,0,1,0
